'Dance,Restaurants,'Parks/Picnic,Theaters,Good
1.44,0.32,3.18,1.31,1
1.36,0.34,3.19,1.5,0
2.04,0.51,3.18,1.6,0
1.32,0.38,3.18,1.34,0
1.56,0.37,3.17,1.22,1
1.28,0.49,3.19,1.7,0
1.52,0.26,3.17,1.22,1
1.2,0.45,3.18,1.38,0
0.72,0.47,3.18,1.31,0
0.88,0.45,3.18,1.38,0
1.08,0.58,3.18,1.6,0
1.12,0.41,3.18,1.12,1
2.32,0.5,3.19,1.63,0
1.32,0.47,3.17,1.6,1
1.2,0.61,3.19,1.57,0
1.96,0.35,3.17,1.47,1
2.24,1.78,3.18,1.18,0
1.2,0.41,3.18,1.25,0
2.96,0.57,3.18,1.28,1
1.04,0.55,3.19,1.15,0
1,0.58,3.18,2.11,0
1.44,0.64,3.2,1.12,0
1.96,0.31,3.18,1.02,1
1.96,0.35,3.18,1.28,0
0.84,0.38,3.18,1.34,0
1.16,0.4,3.18,1.76,0
1.08,0.65,3.18,1.15,1
1.84,0.73,3.18,1.44,0
0.88,0.64,3.18,1.12,0
0.48,0.15,3.18,1.15,1
0.92,0.54,3.2,1.47,0
2.48,0.54,3.19,1.6,0
1.6,0.56,3.19,2.69,0
1.84,0.41,3.18,2.5,1
1.56,0.23,3.17,2.4,1
1.2,0.42,3.18,1.63,0
0.52,0.46,3.18,1.66,0
1.96,2.73,3.2,1.63,0
0.64,0.33,3.17,1.15,1
1.16,0.4,3.18,1.76,0
1,0.56,3.18,1.22,0
1.16,0.39,3.18,1.6,0
1.28,0.4,3.19,1.15,0
1.2,0.71,3.19,1.66,0
2.4,0.42,3.18,1.89,0
1.76,0.54,3.17,2.43,1
0.88,0.39,3.17,1.41,1
1.96,1.62,3.18,1.57,0
0.24,0.48,3.18,1.41,0
1.32,0.72,3.18,1.31,0
0.72,0.53,3.19,1.79,0
1.44,0.63,3.19,2.05,0
0.88,0.53,3.18,1.73,0
1.72,0.51,3.19,2.46,0
1.2,0.41,3.17,1.28,1
1.36,0.59,3.19,1.66,0
1.16,0.5,3.2,1.86,0
1.96,0.59,3.19,1.95,0
1.4,0.45,3.18,2.18,0
1.52,0.48,3.18,1.47,0
1.64,0.42,3.17,1.25,1
1.28,0.54,3.18,1.41,0
1.12,0.64,3.19,0.96,0
1.6,0.56,3.2,1.34,0
1.76,2.91,3.18,1.38,0
1,0.38,3.16,1.38,1
1.68,0.5,3.18,1.5,0
1.24,0.49,3.18,2.18,0
1.56,0.48,3.18,0.9,0
0.36,0.46,3.18,1.47,0
1.28,0.51,3.18,1.06,1
1.2,0.49,3.18,1.47,0
1.84,0.59,3.19,1.6,0
1.28,0.66,3.18,1.28,0
1.52,0.59,3.17,1.66,0
1.44,0.48,3.18,1.73,0
1.76,2.25,3.18,1.22,0
1.96,0.61,3.18,3.14,0
1.2,0.46,3.17,0.86,1
1.32,0.42,3.17,1.18,1
1.12,0.54,3.19,1.47,0
1.16,0.41,3.17,1.41,1
1.52,0.3,3.18,1.28,0
0.76,0.49,3.18,1.82,0
1.2,0.38,3.17,1.63,0
0.84,1.11,3.18,1.47,0
1.28,0.51,3.18,1.41,0
1.16,0.57,3.18,1.12,0
0.88,0.39,3.19,1.63,0
1.92,0.48,3.19,1.89,0
1.12,0.53,3.17,1.63,1
1.16,0.64,3.19,1.25,0
0.96,0.61,3.19,1.6,0
1.4,0.41,3.18,1.73,0
1.04,0.5,3.18,1.86,0
1.64,0.56,3.18,1.41,0
1.28,0.47,3.18,1.73,0
1.48,0.58,3.2,2.72,0
0,0.74,3.18,1.28,0
1.2,0.64,3.19,1.41,0
1.76,0.49,3.18,2.4,0
1.52,0.37,3.18,1.76,1
1.16,0.45,3.18,1.22,0
1.48,0.49,3.18,1.6,0
1.8,0.53,3.18,1.98,0
0.76,0.47,3.18,2.02,0
1.32,0.47,3.19,1.79,0
1.28,0.43,3.17,1.47,0
1,0.53,3.19,1.34,0
1.2,0.25,3.16,1.22,1
1,0.39,3.18,1.6,0
1,0.43,3.18,2.27,1
1.84,0.53,3.19,1.57,0
1.16,0.33,3.18,1.25,0
1.2,0.51,3.18,1.44,0
0.88,0.56,3.19,1.28,0
1.6,0.54,3.2,2.5,0
1.72,0.56,3.18,1.5,0
1.96,0.51,3.18,1.18,0
1.16,0.56,3.19,1.22,0
1.44,0.34,3.17,3.17,1
1.36,0.45,3.18,0.99,0
0.72,0.62,3.18,1.63,0
0.76,0.73,3.18,1.6,0
1.84,0.62,3.18,1.57,0
1.08,0.63,3.18,1.28,0
1.88,0.4,3.18,1.09,0
1.32,0.5,3.17,1.02,1
1.36,0.54,3.18,1.86,0
1.28,0.49,3.18,1.44,0
2.2,0.46,3.18,1.6,0
1.52,0.63,3.2,2.62,0
1.52,0.35,3.18,1.47,1
1.24,0.49,3.2,1.73,0
0.96,0.5,3.18,0.9,1
1.2,0.35,3.17,1.66,1
1.88,0.59,3.18,2.4,0
1.32,0.41,3.18,1.86,0
1.08,0.48,3.2,1.15,0
1.12,0.63,3.19,1.22,0
0.92,0.39,3.18,1.54,0
1.12,0.42,3.18,1.63,0
0.88,0.29,3.19,1.92,0
0.88,0.42,3.18,1.41,1
1.48,0.29,3.17,1.06,1
1.04,0.81,3.17,1.22,1
1.36,1.04,3.18,1.57,0
1.36,0.55,3.18,1.28,1
0.96,0.54,3.18,2.3,0
1.2,0.3,3.18,1.15,1
1.48,0.56,3.18,1.66,0
1.6,0.53,3.18,1.6,0
2,0.64,3.19,1.5,0
1.16,0.37,3.17,1.41,1
1.96,0.55,3.18,1.41,0
2.12,0.61,3.19,1.28,0
0.88,0.59,3.18,1.98,0
1,0.56,3.18,1.73,0
1,0.45,3.18,1.09,0
1.2,0.53,3.18,1.22,0
0.92,0.3,3.18,1.7,1
1.36,0.46,3.19,1.89,0
1.04,1.68,3.18,1.5,0
1.04,0.69,3.19,1.41,0
1.24,0.53,3.18,2.05,0
1.84,0.67,3.2,1.86,0
0.96,0.64,3.19,1.6,0
2.96,0.5,3.17,1.31,1
0.96,0.54,3.18,1.38,0
1.68,0.51,3.18,1.92,0
1.48,0.24,3.17,1.5,1
1.6,0.17,3.17,1.76,1
1.6,0.87,3.18,1.5,0
2,0.33,3.18,1.57,0
1.2,0.22,3.17,1.15,1
1.48,0.69,3.19,1.41,0
2,0.54,3.18,1.44,0
0.84,0.61,3.18,1.44,0
1.48,0.57,3.18,1.7,0
1.76,0.65,3.18,1.02,0
1.96,0.5,3.19,1.57,0
1.24,0.29,3.17,1.5,1
1.96,0.63,3.19,1.86,0
0.96,0.5,3.18,1.34,0
0.56,0.37,3.18,1.63,1
1.4,0.48,3.19,1.5,0
1.4,0.43,3.18,1.02,1
1.96,0.49,3.18,1.06,0
1.16,0.26,3.17,1.63,0
1.64,0.41,3.18,1.98,0
1.04,0.48,3.18,1.6,0
1.12,0.57,3.19,1.44,0
1.16,0.78,3.18,1.86,0
1.52,0.47,3.17,1.73,1
1.96,0.56,3.19,1.82,0
1.76,0.63,3.18,1.54,0
1.08,0.43,3.18,1.41,0
1.12,0.63,3.19,1.22,0
2.8,0.45,3.19,2.34,0
1.72,0.61,3.2,2.53,0
1.24,0.33,3.18,1.57,0
1.88,0.56,3.18,1.44,0
2.72,0.54,3.19,1.22,0
2.6,0.91,3.18,1.54,0
1.24,0.53,3.18,2.05,0
1.24,0.63,3.2,1.47,0
1.8,0.31,3.18,1.57,0
1.48,0.29,3.16,1.06,1
1.24,0.43,3.17,1.25,1
1.52,0.66,3.19,1.73,0
1.56,0.43,3.2,1.5,0
1,0.37,3.18,2.11,0
2.92,1.58,3.18,0.96,0
1.6,0.42,3.18,1.6,1
1.6,0.37,3.18,0.86,1
0.4,0.78,3.18,1.54,0
2.48,0.41,3.19,1.41,0
1.28,0.32,3.17,1.89,1
1.32,0.45,3.17,1.25,1
1.2,0.38,3.17,1.34,1
0.88,0.66,3.18,1.34,1
1.36,0.67,3.18,1.79,0
2,0.49,3.18,1.47,0
2.64,0.58,3.19,1.47,0
2.32,0.47,3.19,1.22,0
1.44,0.43,3.18,1.54,0
1.36,0.46,3.17,1.44,1
1.08,2.11,3.18,1.98,0
1.56,0.49,3.18,1.5,0
0.72,0.64,3.18,1.34,0
1.28,0.46,3.18,1.86,0
1.2,0.42,3.17,1.15,1
1.4,0.43,3.17,1.54,0
1.36,0.5,3.17,1.7,1
0.96,0.62,3.18,1.25,0
0.96,0.19,3.17,1.18,1
2.88,0.48,3.18,1.15,0
1.12,0.29,3.18,1.22,1
1.04,0.45,3.18,1.47,0
1,0.43,3.18,1.22,0
1.08,0.4,3.18,2.43,1
1.08,0.57,3.18,1.5,0
0.92,0.45,3.18,2.08,0
1.36,0.49,3.18,1.6,0
0.92,0.57,3.18,1.76,0
1.68,0.29,3.18,1.02,1
0.68,0.46,3.18,1.47,0
1.04,0.56,3.18,1.22,0
1.04,0.53,3.19,1.66,0
1.96,0.48,3.18,1.25,0
1.2,0.5,3.18,1.31,0
1.24,0.24,3.17,1.02,1
1.32,0.54,3.18,1.41,0
1.24,0.46,3.18,1.76,1
1.04,0.61,3.18,1.47,0
1.32,0.64,3.19,1.34,0
1.16,0.3,3.18,1.22,1
1.36,0.65,3.18,1.82,0
0.96,0.4,3.17,1.41,1
1.4,0.48,3.17,1.31,1
1.08,0.38,3.2,1.38,0
1.28,0.43,3.17,1.7,1
1.48,0.46,3.17,1.95,1
1.52,0.85,3.18,1.28,0
1.08,0.32,3.18,1.22,1
1.12,0.64,3.19,1.76,0
1.16,0.4,3.18,1.09,1
1.12,0.32,3.18,1.18,1
0.84,0.85,3.19,1.6,0
1.16,0.42,3.18,1.22,0
0.6,0.53,3.18,1.86,0
1.36,0.71,3.19,1.25,0
1.28,0.55,3.18,1.31,1
2.96,0.53,3.19,2.18,0
1.72,0.51,3.19,1.76,0
1.2,0.27,3.18,1.09,0
1.28,0.62,3.18,1.38,0
1,0.57,3.17,1.98,0
1.32,0.31,3.17,1.25,1
0.92,0.79,3.18,1.98,0
1.12,0.37,3.18,1.22,1
1.28,0.33,3.17,1.76,1
1.16,0.39,3.17,1.15,0
2.64,0.53,3.19,1.6,0
2.2,0.57,3.18,2.21,0
1.36,0.39,3.16,1.02,1
0.88,0.48,3.17,1.02,1
1.24,0.51,3.19,1.6,0
1.16,0.45,3.18,1.47,0
1.12,0.5,3.18,1.41,0
2,0.51,3.19,1.7,0
1.96,0.32,3.18,1.15,0
1.08,0.41,3.18,1.41,1
1.28,0.35,3.18,2.18,0
1.04,0.58,3.18,1.5,0
2,0.51,3.17,1.54,1
1.04,0.48,3.18,2.05,0
1,0.64,3.18,1.15,0
0.76,0.51,3.18,1.09,0
2.04,0.33,3.17,1.34,1
1.16,0.55,3.19,1.92,0
1.2,0.33,3.16,1.28,1
1.24,0.53,3.18,1.6,0
1.88,0.65,3.2,2.11,0
1.2,0.42,3.17,0.96,1
1,0.5,3.2,1.54,0
0,0.72,3.18,2.14,0
1.04,0.53,3.18,1.12,0
1.28,0.37,3.18,1.34,0
1.08,0.55,3.18,1.73,0
1.36,0.33,3.18,1.63,0
1.04,0.61,3.19,1.92,0
1.08,0.57,3.19,1.38,0
0.96,0.42,3.17,1.63,1
1.64,0.57,3.2,1.89,0
1.36,0.49,3.19,1.31,0
1.12,0.49,3.18,1.76,0
1.4,0.59,3.18,1.41,0
1.64,0.39,3.18,1.66,0
0.96,0.58,3.18,1.5,0
0.6,0.64,3.18,1.44,0
0.16,0.69,3.18,1.73,0
1.2,0.56,3.18,1.86,0
1.08,0.45,3.18,1.09,1
0.88,0.41,3.18,1.06,0
1.12,0.45,3.18,1.44,0
2.24,0.72,3.2,1.63,0
1.04,0.51,3.19,2.21,0
1.84,0.47,3.18,1.92,0
1.16,0.42,3.18,1.98,0
1.36,0.35,3.18,1.22,0
0.28,0.34,3.17,0.9,0
1.08,0.46,3.18,1.98,0
1.56,0.4,3.17,1.06,1
1.04,0.57,3.19,1.38,0
2.96,0.41,3.18,1.54,0
1.64,0.46,3.17,1.34,1
1.48,0.58,3.18,1.98,0
1.92,0.61,3.18,1.7,0
1.32,0.48,3.17,1.34,1
1,0.35,3.18,2.02,0
1.04,0.56,3.2,2.18,0
0.88,0.47,3.18,2.05,0
1.2,0.75,3.18,1.34,0
2.4,0.53,3.18,1.73,0
0.88,0.5,3.19,1.54,0
1.48,0.49,3.18,1.6,0
0.88,0.53,3.18,2.46,0
1,0.33,3.17,2.11,1
0.8,0.35,3.18,1.7,0
0.8,0.5,3.18,1.63,0
1.6,0.49,3.2,1.5,0
0.88,0.55,3.18,1.47,0
1.52,0.5,3.18,0.96,0
1.56,0.62,3.18,1.66,0
1.08,0.24,3.18,1.22,0
1.68,0.57,3.2,1.34,0
1.6,0.48,3.2,1.31,0
2.12,0.56,3.19,1.44,0
1.2,0.43,3.18,1.18,1
2.16,0.56,3.19,1.44,0
1.36,0.29,3.17,1.18,1
1.08,0.39,3.19,1.41,0
1.76,0.41,3.18,2.24,1
1.44,0.62,3.18,1.82,0
1.28,0.66,3.18,1.28,0
0.88,0.43,3.18,1.76,0
1.48,0.56,3.18,1.66,0
1.48,0.56,3.18,1.54,0
0.96,1.12,3.18,1.57,0
1.36,0.33,3.18,1.6,0
1.36,0.47,3.18,1.41,0
1.2,0.62,3.18,1.54,0
1.6,0.45,3.18,1.73,0
1.28,0.47,3.17,1.18,1
1.04,0.48,3.17,1.63,1
1.12,0.33,3.18,1.47,0
1.6,0.32,3.18,1.25,0
1.04,0.58,3.19,1.38,0
2.08,0.39,3.18,1.89,0
1.12,0.5,3.18,1.63,0
1.32,0.31,3.17,1.38,1
2.28,2.38,3.18,1.38,0
1.96,0.54,3.18,1.28,0
0.8,0.39,3.18,1.38,0
0.6,0.35,3.18,1.5,0
1.32,0.49,3.17,1.41,1
1.08,0.65,3.18,1.79,0
0.96,0.5,3.19,1.79,0
2.96,0.5,3.18,1.76,0
1.36,0.4,3.18,1.47,1
0.8,3.1,3.18,2.02,0
2.2,0.61,3.19,1.41,0
1.48,0.35,3.17,1.09,1
0.68,0.91,3.19,2.11,0
1.2,0.39,3.19,1.28,0
1,0.4,3.18,0.74,1
1.36,0.48,3.18,1.34,0
3.12,0.48,3.18,1.76,0
1.32,0.59,3.18,1.31,0
0.64,0.58,3.18,1.22,0
1.04,0.62,3.18,1.57,0
0.92,0.39,3.18,1.63,0
1.28,0.51,3.17,3.01,1
0.28,0.5,3.18,1.82,0
1.16,0.33,3.17,1.06,1
1.44,0.64,3.18,1.7,0
1.56,0.39,3.18,2.14,1
1.04,0.43,3.18,1.6,0
1.32,0.38,3.17,1.41,1
1.32,0.49,3.17,2.08,0
1.8,0.55,3.18,1.7,0
1.32,0.43,3.18,2.08,0
0.96,0.51,3.18,2.05,1
1.48,0.42,3.18,1.73,0
0.24,0.59,3.18,1.38,0
1.92,0.5,3.19,1.5,0
1.08,0.34,3.18,1.6,0
0.88,0.43,3.17,1.18,0
1.44,0.41,3.18,3.04,0
1.36,0.41,3.17,2.37,1
1.2,0.34,3.17,1.92,1
1.2,0.49,3.17,1.5,0
1.2,0.61,3.19,1.57,0
1.96,0.46,3.18,1.09,0
1.12,0.63,3.18,1.12,0
1.4,0.55,3.18,1.38,0
0.96,0.66,3.18,1.31,0
1.44,0.58,3.17,1.7,1
1.96,0.42,3.18,1.82,0
0.84,0.63,3.19,1.73,0
2.96,0.61,3.18,2.43,0
2.76,0.66,3.18,1.5,0
1.56,0.61,3.18,1.5,0
2.24,0.49,3.19,2.02,0
1.56,0.41,3.18,1.6,0
0.8,0.56,3.18,2.18,0
1.52,0.39,3.16,1.66,1
1.44,0.5,3.18,2.37,1
1.96,0.51,3.18,1.28,0
1.24,0.56,3.18,2.14,0
1.32,0.24,3.17,1.44,1
1.56,0.41,3.18,1.6,0
1.32,0.51,3.18,1.76,1
1.12,0.58,3.19,1.25,0
1.56,0.66,3.19,1.54,0
1.64,0.39,3.18,1.47,1
0.76,0.47,3.18,1.18,0
1.6,0.34,3.17,1.15,1
1.8,0.51,3.17,1.54,1
1.96,0.53,3.2,1.44,0
0.64,0.42,3.18,1.44,0
0.8,0.5,3.19,1.47,0
0.92,0.5,3.17,1.09,1
1.28,0.43,3.17,1.15,1
1.16,0.27,3.18,1.54,1
1.52,3.44,3.2,1.54,0
1.04,0.67,3.18,1.34,0
1.16,0.32,3.17,1.09,1
1.48,0.41,3.17,1.63,1
0.96,0.49,3.17,1.92,1
1.6,0.59,3.19,2.21,0
0.68,0.46,3.18,0.96,0
1,0.47,3.18,1.73,0
0.6,0.61,3.18,1.47,0
1.96,0.38,3.18,2.18,0
1.16,0.26,3.17,1.44,1
0.4,0.5,3.19,1.6,0
1.04,0.43,3.17,0.86,1
1.56,0.41,3.17,1.38,1
1.04,0.65,3.18,1.15,0
1.16,0.29,3.18,2.02,1
0.96,0.5,3.18,1.22,0
1.96,0.51,3.18,1.89,0
1.84,0.61,3.19,2.14,0
1,0.62,3.19,1.38,0
1.36,0.46,3.18,1.89,0
1.4,0.57,3.18,1.34,0
1.68,0.35,3.18,1.25,1
1.28,0.62,3.18,1.82,0
0.72,0.39,3.18,1.12,0
1.48,0.31,3.17,1.09,1
1.28,0.25,3.17,1.12,1
1.88,0.49,3.18,1.44,0
1.8,2.25,3.18,1.25,0
1.32,0.47,3.18,1.79,0
2.16,0.41,3.18,1.5,1
0.8,0.69,3.18,1.28,0
1.04,0.4,3.17,1.54,1
1.96,0.4,3.18,1.09,1
1.96,0.61,3.18,1.15,0
1.96,0.55,3.19,1.41,0
2.96,0.79,3.19,2.59,0
1.96,0.43,3.17,1.41,1
1.28,0.24,3.17,1.7,1
1.52,0.42,3.18,1.18,0
0.96,0.55,3.18,1.92,0
0.76,0.58,3.18,1.66,0
0.2,0.72,3.18,1.79,0
1.44,0.33,3.18,1.5,1
1.04,0.66,3.19,1.76,0
1.28,0.61,3.18,2.43,0
1.28,0.4,3.17,1.54,1
1.24,0.41,3.18,1.54,0
1.96,0.41,3.18,2.18,1
1.64,0.31,3.17,2.02,1
1.08,0.42,3.18,1.34,0
2.12,0.59,3.19,1.12,0
0.92,0.62,3.2,1.57,0
0.92,0.63,3.19,1.73,0
1.36,0.63,3.18,2.56,0
1.12,0.4,3.16,1.28,1
0.8,0.71,3.18,1.41,0
0.56,0.69,3.18,1.09,0
1.2,0.38,3.17,1.28,1
2.04,0.54,3.18,1.57,0
0.76,0.53,3.18,2.11,0
1.36,0.67,3.19,1.98,0
2.96,1.98,3.18,1.47,0
1.16,0.39,3.19,1.79,0
1.44,0.33,3.18,1.12,1
1.24,0.71,3.18,1.41,1
0.56,0.59,3.18,1.54,0
1.4,0.43,3.18,2.02,0
1.32,0.35,3.17,1.98,1
1.08,0.65,3.18,1.41,0
1.92,0.56,3.18,2.05,0
1.12,0.64,3.19,1.38,0
1.24,0.61,3.18,1.89,0
1.36,0.32,3.17,1.06,1
2.04,0.64,3.18,1.66,0
0.72,0.55,3.18,1.5,0
1,0.41,3.18,1.73,0
1.2,0.51,3.18,1.44,0
1.36,0.39,3.18,1.31,0
2.6,0.9,3.18,1.34,0
1.44,0.47,3.17,3.14,1
2.84,1.83,3.18,1.34,0
1.12,0.38,3.17,1.38,1
1.04,0.42,3.18,1.31,0
1.52,0.66,3.19,1.41,0
1.52,0.38,3.17,1.34,1
1.36,0.59,3.19,1.66,0
1.04,0.39,3.18,1.28,1
1.68,0.75,3.18,1.73,0
1.28,0.39,3.18,1.86,1
0.76,0.45,3.18,1.31,0
1.12,0.46,3.18,1.54,0
1.6,0.41,3.18,1.34,0
0.96,0.33,3.18,1.02,0
1.04,0.62,3.18,1.6,0
1.48,0.59,3.18,1.25,0
1.56,0.46,3.18,1.5,1
1.28,0.49,3.18,1.5,0
1.48,0.57,3.18,1.57,0
1.32,0.37,3.18,1.38,1
1.68,0.61,3.18,1.38,0
0.96,0.55,3.18,1.98,0
0.96,0.69,3.18,1.63,0
0.56,0.53,3.18,1.06,0
1.6,0.46,3.18,0.86,1
1.4,0.29,3.18,1.66,0
0.96,0.5,3.18,1.86,0
1.2,0.51,3.18,1.25,0
1.52,0.53,3.18,2.88,1
0.72,1.1,3.19,2.3,0
1.6,0.35,3.18,1.57,1
1.68,0.5,3.18,1.54,0
