id,Instance_number,-0.361G2-0.35G3-0.347G1-0.288Medu+0.285failures...,0.393Dalc+0.384Walc+0.325sex_M-0.249studytime+0.225goout...,'0.374G2+0.37,-0.457Fjob_other+0.418Fjob_services-0.306guardian_mother+0.294guardian_other+0.236Mjob_services...,0.382guardian_other+0.329absences+0.279age+0.242paid_yes+0.225romantic_yes...,-0.473address_U+0.374school_MS+0.326traveltime-0.303reason_home+0.215Mjob_teacher...,'0.38,0.345freetime+0.297famrel+0.291activities_yes-0.276guardian_mother+0.262guardian_other...,-0.4Pstatus_T-0.366paid_yes+0.318reason_reputation-0.3reason_home+0.283absences...,'0.469Mjob_health+0.398Fjob_health+0.35,'0.4,-0.417Mjob_services+0.357Mjob_other+0.318Fjob_services-0.315health-0.279famsup_yes...,'-0.477famsize_LE3+0.347reason_other-0.309Fjob_health-0.261traveltime+0.24,-0.422famrel-0.274freetime+0.269Pstatus_T-0.254school_MS-0.239goout...,'0.49,0.372Mjob_teacher-0.344Mjob_health-0.328goout+0.299Fjob_health-0.282higher_yes...,0.395activities_yes+0.384romantic_yes+0.301famsize_LE3+0.257reason_other-0.248famrel...,0.509nursery_yes-0.353activities_yes-0.346higher_yes+0.298famsup_yes-0.256reason_other...,'-0.388studytime+0.35,'-0.349Fjob_health-0.329schoolsup_yes-0.321reason_home+0.27,'-0.54nursery_yes+0.29,0.542Pstatus_T+0.345famsize_LE3+0.285famrel-0.269freetime+0.227address_U...,'0.475freetime+0.33,-0.331Fjob_health+0.328health-0.29romantic_yes-0.262school_MS-0.258sex_M...,0.412traveltime-0.319Fjob_teacher-0.314famsize_LE3-0.242age-0.239paid_yes...,-0.442schoolsup_yes-0.34studytime+0.309Fjob_teacher+0.303higher_yes-0.268Medu...,0.384romantic_yes-0.373famsup_yes+0.333higher_yes+0.301failures-0.234activities_yes...,'0.361paid_yes+0.345address_U+0.315health-0.273famsize_LE3+0.27,-0.621failures-0.244Mjob_other+0.241freetime+0.227sex_M-0.219Fedu...,-0.372address_U-0.362studytime-0.334Medu-0.274school_MS-0.27sex_M...,-0.431famsup_yes+0.374paid_yes-0.329age+0.277freetime-0.259sex_M...,0.488sex_M-0.446Dalc+0.438goout-0.242activities_yes-0.229address_U...,0.468guardian_mother+0.362guardian_other-0.295school_MS-0.243Mjob_teacher+0.223Fedu...,yes,Cluster
11,10,-2.540843,-0.798568,-3.272352,0.141256,0.382585,1.305643,0.447826,-0.180853,-0.374547,1.455784,-0.595098,0.824686,-1.148646,-0.318657,-2.098345,2.224546,-1.481566,-0.094652,-1.574229,-0.880082,-0.392677,-0.080253,0.271516,-1.58252,1.923049,0.955432,0.385937,0.206024,-0.249437,0.490714,0.274282,-0.174293,0.157791,1,cluster0
12,11,-0.552896,-2.570979,0.680629,0.65116,-1.352093,0.06191,1.801492,0.873114,0.912003,-0.481934,0.974407,-1.238281,-0.864369,0.738359,0.12831,-0.222303,0.534197,0.647104,0.572151,0.482441,-0.19437,0.789195,-1.456764,0.64793,1.471936,0.256431,-0.497743,0.105907,0.194723,-1.154053,-0.213222,-1.376586,-1.477728,1,cluster2
13,12,-2.789094,1.881586,-0.501453,0.535706,-0.219613,-1.300488,0.867943,0.151443,-1.373223,1.706964,-0.582992,0.756007,-1.992134,0.657418,-0.041656,-1.129389,0.378419,0.382077,2.000783,1.29737,0.392145,0.630845,0.109277,0.484083,-1.3212,0.100194,-0.76664,0.191434,-0.351097,0.627069,0.551062,0.657624,0.053848,1,cluster0
14,13,-1.366993,0.227349,-1.295024,-2.041828,-0.230215,0.550133,-0.360681,1.070365,-1.11607,-0.830288,-0.674884,-1.161534,-0.210848,-0.192011,-1.177967,1.446384,-0.157517,0.651714,1.018961,0.147553,0.526963,-0.126242,-0.360788,0.140535,1.43161,-0.423039,0.611301,0.172654,-0.187421,-0.324239,0.112214,0.451301,-0.360565,1,cluster1
15,14,-0.863849,-1.353441,2.446224,0.160311,2.431714,-2.420349,-1.711745,1.232135,0.587283,0.473607,0.784623,-0.646011,-0.34499,-1.163357,0.212901,0.483108,1.225466,0.920437,0.291535,0.859485,1.055493,-3.435349,-0.203834,-0.292891,0.92847,-0.595472,0.22514,-0.543851,0.684272,0.550788,-0.456807,0.633673,-0.164338,1,cluster0
16,15,-2.188908,0.094497,-0.139892,-1.276619,1.228614,-1.22043,-0.389045,-0.279046,-0.932936,1.418944,-1.446132,-0.416536,0.506323,0.444368,-1.189849,-2.369782,-0.687541,0.40366,1.748925,-1.454531,0.912003,0.220761,0.807357,0.000486,0.357476,-0.388389,-0.249488,-0.928826,-0.208886,0.683526,-0.087033,-0.722989,0.344596,1,cluster0
17,16,-3.148948,-0.484282,-0.86429,1.934161,-0.364918,0.604464,1.664456,-0.890831,0.056589,-1.440048,0.325215,0.792548,0.961613,1.221377,-0.685551,-0.709702,-0.383831,0.141647,-0.077096,0.462148,-0.742337,-0.286131,-0.366112,-0.648661,0.025998,0.145355,-0.695206,0.382278,-0.669835,-0.267041,0.167716,-0.022745,0.566476,1,cluster2
18,17,-0.070213,-2.813936,-0.900453,-1.241971,-1.031189,0.606412,0.601277,1.138928,1.071903,0.04366,1.537658,0.466252,-0.181017,-0.645836,0.540647,0.079965,0.504662,0.375266,1.72659,-0.396707,0.193048,0.916182,0.152682,0.209824,0.344976,-0.606812,-0.209377,1.247061,-0.683121,-0.940154,-0.871179,-1.236085,0.807837,0,cluster1
19,18,2.851517,2.72849,-2.583632,0.676518,-0.932483,-2.275453,1.789928,0.912088,0.714859,-1.401951,-0.652564,-0.333722,0.508654,0.317513,0.431471,-0.532631,-0.955539,0.301946,0.428853,-0.466338,-0.068772,-0.615489,1.222828,0.361635,0.075912,1.484034,0.148482,-0.395587,-1.496275,-0.905922,-0.510639,0.113988,-0.471957,1,cluster2
20,19,-0.714864,0.341494,-0.566731,-1.053081,0.88377,-1.386082,-0.602582,-1.055703,-1.31168,1.641477,-1.079673,0.329485,-2.730392,1.768189,-0.176801,-1.762638,0.254352,-1.088125,1.348673,0.484632,-1.603056,1.1744,-1.134003,0.523939,-1.592484,-0.19061,-0.137228,0.501728,0.49288,-0.037507,1.071399,0.380303,-0.422158,1,cluster0
21,20,-2.75387,-0.494211,0.69908,-1.415153,-0.963801,0.503611,-0.928324,1.220806,0.657148,-0.540146,-1.202392,0.915415,-0.023315,0.4897,-2.257649,1.354936,-0.418567,-0.136215,0.702844,0.242723,-0.525006,-0.757702,0.496927,-0.280562,1.389877,-0.9937,1.677304,-0.644047,0.220109,-0.516472,0.146828,-0.577705,-0.390832,1,cluster1
22,21,-3.340889,0.94452,-0.988996,0.745803,-0.285794,-1.18818,0.671881,0.458909,-1.344652,5.74023,-1.191497,-1.291067,-1.008943,-1.395865,0.353152,1.79662,-0.674573,-0.140501,1.784294,-0.603515,-0.704105,-0.044071,-0.107177,-1.111637,0.739917,1.09495,-0.034335,-0.584598,0.07247,-0.154547,0.390956,0.332598,0.089952,1,cluster0
23,22,-2.266094,1.282137,1.344297,-2.043454,-1.161165,-0.455343,-0.678903,1.266337,0.370905,-0.75195,-1.55511,-0.027567,-1.625575,0.301606,-0.171862,1.505372,0.88352,-0.976724,-0.438789,0.346721,-0.204633,-0.443924,1.133373,1.216059,0.243267,-0.901278,0.236828,-0.205163,-0.161079,-0.147096,0.265271,-0.840714,-0.035877,1,cluster1
24,23,0.005898,0.436399,1.205237,-2.58635,-0.308119,-0.335004,2.003029,1.131954,0.644754,-0.241965,0.219264,0.709042,-0.98482,-0.729107,0.507406,0.179451,0.379057,1.113998,-0.294304,0.807266,0.250518,0.744182,-0.199531,0.329292,-0.560937,0.620915,-0.638776,-0.083506,-0.658972,-0.351473,-0.99385,-0.403636,0.116193,1,cluster1
25,24,-1.605202,-2.029353,-2.858169,1.187276,-1.844818,0.130974,1.648997,-0.30765,0.183526,1.453694,1.58643,-1.394426,-1.452252,-0.856993,1.408154,1.420552,-0.561995,-0.90742,-1.364287,-2.356453,-0.986524,-0.452182,0.62487,-1.556007,-0.009867,-0.184741,-0.134717,-0.004371,0.222799,1.299629,0.427459,0.205688,1.068288,1,cluster0
26,25,1.545643,-0.134015,-1.443065,1.845594,-0.607719,-1.506669,-0.482463,-2.79179,-1.087682,-0.049603,1.077025,-0.799622,0.285835,3.669755,-1.027738,-0.097987,-0.89769,-0.879938,-0.966128,0.630556,0.512549,-0.462719,1.484194,-0.161561,-0.141792,1.282167,-0.110052,0.544517,-0.907017,-0.576084,0.936312,0.571976,0.297864,1,cluster0
27,26,-0.364977,-1.377026,0.627027,-1.972548,-0.299121,-1.41828,-1.251683,-0.851288,-1.690799,0.349261,0.450304,-0.827501,-0.323037,1.025577,0.354668,0.734998,-0.655514,1.080544,0.592158,0.724048,-0.630927,-0.086568,0.094189,-0.612213,-0.43818,0.863378,0.232503,0.456282,-0.381067,0.157379,-0.381,0.461776,0.077372,1,cluster1
28,27,-2.21149,2.661429,0.738404,0.140868,-0.572217,0.053979,0.628577,-3.170896,-1.717561,2.836138,-1.112669,1.768192,1.48073,1.012645,-1.497943,-0.862696,0.304109,-0.480227,1.832831,-0.15632,-0.680949,-0.850346,-0.902403,0.953931,0.359099,0.438035,1.032307,-0.086447,0.099232,-0.36836,-0.127237,1.383286,0.421092,1,cluster0
29,28,-1.360938,-0.4799,-1.088655,-1.086935,-0.581943,-2.598731,-0.53246,-0.637703,1.994821,-1.316734,0.882129,-1.708387,-1.552912,-1.339375,0.780912,-0.518928,0.223287,-1.218723,0.993737,-0.412694,0.260619,-0.630609,-0.33545,-0.714518,-1.529437,-1.299452,-1.014794,0.334968,0.077259,0.037778,-0.845324,0.304563,-0.133669,1,cluster0
30,29,-1.340861,4.699973,-2.914846,-1.698692,2.033359,0.208729,-1.331349,0.440601,-0.770823,-0.733077,1.497349,0.101302,1.138817,0.511761,1.500007,0.337577,0.612096,0.765721,-1.959196,-0.33473,0.081345,0.44939,-0.148011,0.648789,-0.868113,0.78406,1.043487,-0.063749,0.812247,-0.193513,-0.410367,-1.18837,-0.61538,1,cluster4
31,30,-1.226277,2.138354,-1.300207,-0.206437,0.140498,-1.631851,0.561618,-0.075453,-3.194236,1.487058,0.298687,-0.117638,-0.238903,0.919495,0.322339,-0.340716,-1.727136,-0.007387,1.384293,0.84425,2.119409,-0.18427,-0.046865,-0.376626,-1.303228,-0.896829,0.908559,-0.842066,0.815972,-0.853679,0.462788,-0.870817,1.141676,1,cluster0
32,31,-3.663324,0.383641,0.532294,1.229077,-2.442881,-0.37376,0.80434,1.023812,0.946061,-0.497418,0.653407,-0.242828,-0.6172,1.490177,0.498855,-0.307099,-0.384611,0.803377,0.838225,1.168409,-0.125477,-0.404191,0.229574,-0.759231,0.640288,-0.113452,-0.313144,0.349266,-0.709263,-0.958735,-0.675585,-0.431682,1.07227,1,cluster2
33,32,-3.090091,1.077745,0.137284,-0.663419,-1.329149,0.883649,-0.915705,2.274007,0.156978,-0.136981,-0.800406,-0.476243,-0.505095,0.792024,1.492137,0.831361,0.869769,0.37792,-0.409604,-0.07562,0.983183,-1.767748,1.591054,-0.09645,0.652981,-0.701117,0.666221,-0.693783,-0.480948,1.166166,-0.286926,0.390165,-0.265753,1,cluster0
34,33,-0.142429,-1.271041,0.983815,-1.81894,-1.344124,-0.887969,-0.696841,1.069522,0.087193,-0.243696,-0.482004,1.260888,-0.29845,-0.467814,-0.429686,0.413898,0.15246,-1.976508,0.390429,0.761343,0.603223,0.795716,-0.954608,-1.168765,-0.604476,-0.219241,-0.097117,-1.198593,-0.685406,-0.622557,0.412846,0.141413,0.729768,1,cluster1
35,34,-0.592976,-0.672111,1.336282,-2.07565,0.09346,-1.838952,-0.751849,0.91603,-1.885407,0.235875,0.239942,-1.262279,0.755771,0.245567,0.184824,0.916845,-0.924346,0.14174,0.460589,0.350388,1.267773,0.119924,0.507892,-1.309983,-0.686387,0.591282,0.11838,0.448833,-0.32282,-0.428976,0.254693,0.677224,0.531887,1,cluster1
36,35,1.005711,-1.287733,-0.615617,-0.803382,-1.606298,-0.180697,-0.74502,1.100973,-0.466288,2.475154,0.387299,-0.541397,0.536435,-0.427003,0.299003,0.535157,2.173746,-0.682602,1.30709,1.718533,-1.137919,-0.955808,0.7156,0.57068,1.503082,1.117426,-2.057826,-0.615078,-0.424574,0.070734,0.61038,-1.1747,0.213056,0,cluster0
37,36,-3.553069,1.276871,0.140025,0.018725,-1.057825,-1.138861,-0.92418,1.015765,-1.161629,-2.030148,-0.814681,0.643158,-1.577761,-0.288693,0.47197,0.943285,0.50416,0.348348,0.022944,-0.693896,1.418095,-0.498223,0.26281,0.539929,-0.222221,-0.456798,-0.659504,-0.997097,-1.006572,-0.628209,-0.220906,0.337091,-0.265278,1,cluster2
38,37,-2.862509,0.268369,-0.069344,-0.527245,0.252875,2.069479,-1.674029,1.222717,3.562379,1.016501,1.677648,0.515212,0.454254,0.322249,1.653402,-1.434314,0.377416,1.423823,-1.406728,0.787474,0.983364,-2.606949,0.018028,-0.018697,-1.01665,1.136303,-0.453842,0.244186,0.636494,-0.467246,0.10974,1.041265,0.605903,1,cluster4
39,38,-2.594993,-1.668042,-2.335098,1.154986,-1.615594,0.139955,1.623724,-0.25987,0.316871,1.492573,1.620749,-1.427154,-1.311088,-0.73821,1.460662,1.382462,-0.588289,-0.826296,-1.267973,-2.508747,-0.907181,-0.525554,0.656248,-1.603407,0.033839,-0.475034,-0.093947,0.120958,-0.199621,1.09433,0.495877,0.173087,1.145673,1,cluster0
40,39,-1.563104,-2.556775,0.174817,-0.726718,-1.191541,1.052658,1.173512,-0.278123,0.751708,-0.079615,1.358879,0.041887,0.31745,0.997713,-0.361366,1.038107,0.841586,-0.390405,1.944649,-1.036992,-0.269989,-0.317484,1.596538,-0.358192,-1.054612,0.041121,1.114818,0.400602,0.171277,1.712117,-0.004658,-0.618465,-0.319485,0,cluster0
41,40,1.611788,-1.418882,0.249133,-0.87325,1.3961,-0.547435,-0.949911,-1.012505,0.52437,-0.422207,0.235818,0.791409,-0.119768,1.606318,1.176938,-0.119691,1.54395,-1.169259,-0.505364,-0.397931,1.991412,1.130974,0.680932,-0.481954,0.265511,0.961207,-1.005227,-0.931958,-1.117001,-0.969685,0.383116,0.041024,-0.148835,1,cluster1
42,41,-0.344108,2.229886,0.014793,-0.582586,2.69291,-1.843986,-1.61793,2.172131,-0.474042,0.093542,0.530999,-0.91701,-1.343282,0.594335,-0.228429,1.543849,0.5688,-1.356387,0.234305,1.297892,1.524024,1.28364,0.198808,0.02063,0.790128,-1.671204,0.743049,-0.967321,-0.699944,1.12318,0.080671,0.578631,-0.460539,1,cluster0
43,42,-4.353539,1.253495,0.490117,0.723994,-1.443451,-1.273881,-1.23907,2.056556,1.345707,0.719367,1.586752,-1.416118,0.805523,0.589638,0.082664,-1.237843,0.361539,0.978172,-0.874059,0.18818,-0.791804,0.499276,-0.405023,0.218013,-0.536649,0.693752,-0.769358,-0.18635,-0.192475,-0.150677,-0.114663,0.255795,-0.703088,1,cluster4
44,43,-0.119528,-0.803464,-0.858195,1.615107,-2.850206,-2.183929,-0.013904,0.182386,-0.060146,-0.325457,1.540623,0.043496,0.189704,-0.881056,-1.653863,0.688476,0.540054,0.484011,2.40752,0.210914,-0.119434,-0.000634,1.093142,-1.079565,0.633813,-0.939545,0.78348,-0.977017,1.165289,0.347658,-1.014136,0.278617,-0.716978,1,cluster0
45,44,1.205428,-0.718648,-0.025958,0.046296,-0.797053,-1.168559,-0.117947,-0.194591,1.012641,0.420759,1.797813,1.597508,-1.251943,-1.195425,0.808024,0.194444,1.160081,-0.32295,0.024449,-0.595459,-0.489152,1.217513,0.717286,1.794417,-0.24115,-0.335583,-0.351966,0.537353,-0.793528,-0.413497,0.635892,-0.581921,-0.025627,1,cluster0
46,45,-0.462975,-2.537832,-2.245162,-1.221105,0.533674,-0.54382,-0.83226,-1.367055,1.526061,-0.303833,0.480616,-0.132513,-0.842778,-1.847254,1.892811,0.598044,0.972018,-1.071239,1.229836,1.610238,0.905781,-0.27512,-0.31749,-0.335308,-1.503938,-0.973042,-0.01909,1.290986,-0.815342,0.247784,-0.055631,-0.113686,0.05455,1,cluster0
47,46,-0.362569,0.624735,-0.408861,-0.310602,1.228286,-1.17122,-1.093814,-3.099063,0.472449,-0.688168,0.705935,1.880161,-0.38627,-0.743528,-0.458639,-1.260941,-0.89464,0.391379,-0.583009,0.434246,1.486075,-1.413231,0.28194,0.562005,0.093855,0.692536,-2.247609,-0.2841,-0.599698,0.557502,0.082814,1.086,0.234908,1,cluster0
48,47,-4.717304,-0.229461,2.015432,1.517089,-0.792736,0.081566,1.061998,0.284109,0.023014,0.684583,-1.502821,2.498313,-0.314909,1.196179,0.121152,-1.311409,-0.832435,0.341088,0.959456,-0.77165,0.112621,-0.823387,-0.895395,0.841024,-0.747003,-0.976358,0.787372,-0.373237,0.364987,-1.615955,-0.602587,-0.136049,0.491354,1,cluster0
49,48,-2.364255,0.707047,-0.030891,-2.041997,0.368539,-0.672724,-0.987554,-0.084743,-1.888738,-0.663475,-0.214429,-1.320411,-0.501186,1.08689,-0.307498,1.463741,-0.40044,0.720814,-0.260422,-0.168704,0.037937,-0.693439,0.142808,0.488238,0.34505,-0.570831,0.694137,0.387099,-0.356584,-0.385776,-0.159541,0.11725,-0.674694,0,cluster1
50,49,-0.41803,0.229762,-3.293242,1.361246,-1.890722,-0.939057,-0.734409,1.530415,1.120518,1.85864,2.142707,-1.077906,3.150565,-1.219397,-1.036366,-0.737076,1.785088,-2.169324,-0.043694,-0.628341,0.010797,0.756975,-0.497596,0.331645,-0.93793,0.221861,-0.6119,-0.826595,-0.451278,-1.007159,0.891853,0.409654,-0.911584,1,cluster4
51,50,-0.538071,0.866262,0.391834,0.980567,-1.321753,0.087276,1.489917,-2.06665,-0.595026,-1.060998,0.952273,-1.233955,-0.892086,-0.322432,-0.602411,0.043713,0.399174,1.354192,-0.036272,0.78929,1.125756,1.09272,-0.29612,0.674154,0.872344,0.580137,-0.315815,0.174607,-0.3658,-0.075738,0.119008,-0.177799,1.272446,1,cluster2
52,51,-1.985593,-0.452975,-0.280303,-0.850306,-0.096248,-0.142011,0.840863,-1.700496,-1.118807,2.860576,-2.287624,-1.666649,0.188967,-0.56973,-0.262428,0.11468,0.923674,-0.531126,1.670727,0.746199,0.312883,0.365956,-0.026979,1.857587,-0.884466,0.006602,-0.431189,-0.805066,-0.770506,-0.811487,0.715914,0.424609,0.328909,1,cluster0
53,52,-0.112398,3.755757,-0.838514,-0.576793,0.53798,-1.882012,1.524165,-0.987338,1.332494,5.169907,-0.993532,-0.03129,-2.372598,-3.422638,0.23343,0.640603,-0.814833,-0.925567,0.790579,-0.915931,0.754543,-0.929029,-1.281133,0.569168,1.348151,1.33126,0.265063,-0.862943,0.430588,-0.89527,0.7786,-0.183903,-0.611029,0,cluster0
54,53,-0.977682,0.840025,-2.895359,0.484701,-1.367617,-1.129563,0.934617,-1.726755,-0.681712,-0.048577,1.817816,-0.496283,0.893426,-0.195544,-0.693796,-0.617928,-0.470352,0.153732,0.32911,0.601705,-0.35201,0.294473,1.323133,-0.001395,0.240991,-1.334376,0.058415,1.472217,-0.718427,0.771481,0.083795,0.624736,1.156096,1,cluster2
55,54,-0.123179,1.692192,0.72826,-2.376886,0.987304,-0.206336,0.228457,-3.213672,0.561316,0.713353,0.423932,0.666384,1.535898,-3.222833,-0.638943,1.116111,-0.005816,-1.347563,1.496866,1.240955,-0.163789,-0.73332,-1.920096,0.195048,-0.027048,0.749174,0.291201,-0.742308,-1.136408,0.703373,0.758695,-1.15625,0.052797,1,cluster0
56,55,0.671661,-1.512038,0.252062,-0.879316,0.30447,0.053586,-0.292514,-1.548651,0.593847,0.239328,-1.56927,0.299565,2.165027,-2.537163,1.509965,0.597806,1.159175,-1.663081,1.11703,0.635738,0.034106,-1.726206,-1.858683,0.093086,0.363883,1.707471,0.308846,0.73185,0.105613,0.212776,0.236405,0.184779,-0.970053,1,cluster0
57,56,-3.53232,-0.682577,-0.302914,1.591382,-0.74139,-0.161792,1.139074,-1.093314,1.267798,-1.540926,0.34148,0.302147,0.58159,-0.203517,-1.153291,-0.345838,-0.416182,-0.200276,1.290957,1.135589,0.819679,-2.29621,-0.679272,-1.335252,-0.033127,0.940751,-0.131705,0.764807,-0.086583,0.210745,0.164913,-0.882757,0.06657,1,cluster0
58,57,-4.105171,-0.123968,-1.483015,0.049672,-0.803166,0.456054,-0.091283,1.059358,0.788425,1.858021,-0.393411,0.95263,-2.372416,1.214447,0.05117,2.341282,-1.391177,-0.503288,-1.659699,-0.966238,-0.826387,-0.339456,0.326652,-1.207637,1.366214,0.690318,-0.374709,0.627569,-0.848221,-0.272128,-1.295155,-0.001775,-0.071739,0,cluster0
59,58,0.307763,-1.745083,-0.272634,-0.377283,-1.44316,-2.480397,-1.074665,0.241155,-0.530528,0.359446,1.855891,0.91975,-1.98189,-0.711291,0.721687,0.593299,1.689083,0.301594,0.239875,-0.184206,-0.405979,0.342182,0.829999,0.107566,-1.543009,-0.221066,-0.956672,-0.348944,0.29983,-0.04403,-0.55446,0.497227,-0.581423,1,cluster0
60,59,-2.26715,-1.026599,0.908465,-0.207251,-0.848997,-0.901157,0.202655,-0.593899,0.478066,-0.101739,-0.381939,-2.155665,0.725643,0.737038,-0.206586,-0.501774,-1.043593,0.319802,-0.39004,0.286144,-0.354943,0.359148,0.224061,0.509336,0.848831,-0.841663,-0.478716,0.047005,-1.204054,-0.080718,-0.804882,-0.128939,-0.00845,1,cluster1
