K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,Good
5.629165,9.249151,-0.935307,2.078461,11.154407,0.658179,5.80237,-2.39023,0.658179,-11.344933,0
10.946561,11.396894,-3.186973,2.009179,10.374984,0.779423,10.946561,-7.413177,4.693858,-14.081573,0
9.387715,9.768767,-1.628128,2.217025,10.56551,0.866025,9.249151,-5.923614,3.048409,-13.752483,0
9.699485,8.989344,-1.247077,3.879794,9.768767,1.091192,9.5436,-7.898152,2.580756,-13.891047,0
8.331164,12.176317,-3.602666,3.464102,11.448856,0.710141,8.296523,-6.235383,3.135012,-11.483497,0
6.391267,10.530869,-1.69741,1.939897,14.497265,1.004589,5.871652,-2.303628,3.325538,-10.686753,0
6.373947,10.704074,-1.69741,2.009179,12.28024,0.502295,6.287344,-2.788602,1.957217,-11.518138,1
8.002075,9.612882,-1.281718,1.662769,11.310292,0.744782,7.551742,-3.706589,1.887935,-12.782535,0
7.361216,9.249151,-0.69282,2.217025,10.23642,0.554256,7.49978,-4.208883,1.351,-13.458035,0
7.482459,10.080536,-1.247077,2.355589,11.085125,0.866025,7.084088,-3.931755,1.247077,-12.436125,1
10.132497,9.803408,-1.489564,2.632717,9.301113,1.073872,9.647523,-6.737678,1.835974,-14.67047,0
6.373947,8.625613,-0.242487,1.870615,12.713253,1.073872,5.819691,-2.182384,1.454923,-11.050484,0
5.196152,9.647523,-2.39023,2.147743,13.180907,0.415692,5.750409,-2.407551,3.013768,-7.932793,1
5.78505,9.058626,-0.866025,2.563435,11.58742,0.710141,5.80237,-2.892525,0.987269,-11.396894,1
6.356626,9.508959,-1.835974,2.147743,12.62665,0.415692,6.564473,-3.204294,2.875204,-10.617471,0
6.651075,9.855369,-0.796743,3.464102,13.30215,0.969948,6.235383,-4.191563,2.598076,-12.176317,0
7.032126,10.045895,-1.108513,2.840563,14.133535,1.073872,6.096819,-3.429461,2.771281,-12.678612,0
6.754998,9.855369,-1.212436,2.424871,11.985792,0.6755,6.547152,-3.481422,1.853294,-10.56551,1
7.378536,11.119766,-1.835974,1.870615,12.158997,0.588897,6.841601,-3.204294,1.939897,-13.579278,1
7.707626,9.578241,-1.524205,2.078461,11.535458,0.606218,7.655665,-4.226204,2.615397,-12.072394,0
6.166101,8.972023,-0.969948,5.12687,12.990381,0.69282,5.958255,-5.577204,2.217025,-11.725984,0
9.508959,9.87269,-2.078461,1.870615,9.786087,1.125833,9.370395,-5.715768,2.442192,-13.042343,0
6.252703,9.716805,-1.905256,2.078461,13.336791,0.658179,6.010216,-2.598076,2.632717,-9.734126,1
9.093267,10.2191,-1.662769,2.563435,9.058626,0.831384,9.075946,-6.13146,1.593487,-14.427983,0
6.443229,13.180907,-4.399409,3.256256,12.62665,0.814064,6.651075,-4.399409,2.961807,-8.625613,1
7.707626,9.491638,-1.385641,1.108513,11.60474,0.883346,7.447818,-3.048409,2.268987,-11.777945,0
6.46055,9.301113,-0.935307,2.078461,12.60933,1.004589,6.13146,-2.71932,1.939897,-11.119766,1
6.529832,9.249151,-1.489564,2.909845,11.691343,0.640859,6.287344,-3.706589,1.264397,-11.102446,1
10.097856,9.855369,-1.835974,2.009179,10.2191,0.935307,9.734126,-6.218062,3.013768,-13.96033,0
6.910883,9.162549,-1.212436,2.563435,11.985792,0.6755,6.858921,-3.914435,2.268987,-11.362253,0
9.87269,10.548189,-2.459512,2.078461,11.344933,1.108513,9.474318,-6.010216,3.793191,-13.28483,0
8.105998,10.357664,-2.078461,2.424871,12.643971,1.108513,7.638344,-4.555294,3.290897,-11.760625,0
10.877279,10.288382,-2.528794,3.325538,10.305702,0.952628,10.929241,-8.712216,4.659217,-13.319471,0
6.339306,7.551742,-0.277128,1.662769,11.864548,0.779423,5.819691,-1.974538,0.640859,-9.127908,0
6.044857,9.664844,-0.554256,1.939897,11.91651,0.779423,5.888973,-2.320948,1.125833,-12.26292,0
6.737678,8.660254,-0.831384,2.771281,12.592009,0.727461,6.14878,-3.41214,1.628128,-12.124356,1
6.841601,10.080536,-1.974538,1.939897,12.401484,0.640859,6.685716,-3.117691,2.407551,-9.89001,1
6.80696,9.162549,-0.831384,1.247077,12.695932,1.073872,6.425908,-2.165064,2.217025,-10.686753,0
9.595561,7.672985,-0.277128,2.217025,8.157959,0.744782,9.526279,-6.235383,1.091192,-14.254778,1
6.720357,9.110587,-1.385641,1.732051,11.881869,0.866025,6.564473,-2.788602,1.766692,-10.58283,0
8.764177,9.19719,-1.801333,1.870615,9.283792,0.588897,8.833459,-5.196152,1.662769,-12.886458,0
6.82428,9.318433,-1.212436,2.494153,11.362253,0.831384,6.754998,-3.74123,1.524205,-11.951151,0
6.703037,8.590972,-0.866025,1.385641,12.332202,1.160474,6.166101,-2.04382,1.437602,-9.630202,0
11.639381,9.231831,-1.524205,1.801333,8.556331,1.662769,10.634792,-6.893562,1.558846,-14.722432,0
5.923614,11.033164,-2.113102,3.879794,13.371432,0.814064,5.733088,-4.122281,2.442192,-10.634792,0
9.907331,9.370395,-1.420282,1.870615,9.19719,0.710141,9.803408,-6.166101,2.37291,-14.168176,1
8.469728,9.699485,-1.351,2.355589,11.396894,0.969948,8.071357,-4.901704,2.494153,-12.228279,0
8.400446,10.271061,-2.355589,5.12687,10.617471,0.779423,8.487049,-8.088677,2.615397,-11.466176,0
7.395857,9.941972,-1.212436,1.939897,10.825318,0.727461,7.309254,-3.74123,1.524205,-11.968471,1
10.340343,10.149818,-1.801333,3.048409,9.820728,1.125833,9.907331,-7.430498,2.71932,-14.376022,0
6.581793,8.590972,-0.935307,1.870615,10.981202,0.606218,6.651075,-3.031089,1.229756,-11.25833,1
5.819691,8.781498,-1.351,1.801333,14.029612,0.814064,5.819691,-2.130422,3.377499,-9.87269,0
7.395857,9.093267,-0.935307,1.593487,12.366843,0.69282,6.876242,-2.979127,2.251666,-10.323023,1
7.309254,9.87269,-1.143154,2.286307,11.951151,0.796743,7.118729,-3.897114,2.355589,-12.817176,0
8.17528,9.595561,-0.554256,2.632717,10.738715,2.857884,6.270024,-3.41214,-1.36832,-12.592009,1
7.482459,8.590972,-1.143154,1.593487,12.436125,1.004589,6.997485,-3.08305,2.424871,-10.617471,0
7.932793,10.253741,-1.524205,0.484974,12.089715,0.866025,7.447818,-2.424871,2.528794,-10.946561,0
5.975575,9.474318,-1.385641,3.186973,12.921099,0.588897,5.906293,-3.602666,2.286307,-10.807997,1
7.811549,8.677575,-0.727461,1.316359,11.58742,1.905256,6.754998,-2.563435,0.762102,-11.91651,0
5.837011,8.400446,-0.866025,1.870615,11.552779,0.6755,5.819691,-2.199705,0.883346,-10.721394,1
7.84619,9.387715,-1.766692,4.08764,13.007702,2.909845,5.750409,-4.330127,0.138564,-9.682164,0
7.690306,9.508959,-1.281718,3.602666,11.500817,0.935307,7.309254,-5.403999,1.905256,-12.540048,0
7.032126,10.132497,-1.524205,1.939897,11.483497,0.917987,6.754998,-3.186973,1.437602,-10.807997,1
6.114139,9.093267,-0.935307,2.009179,11.864548,0.848705,5.715768,-2.234346,0.710141,-11.518138,0
9.924651,10.842638,-2.494153,3.533384,9.976613,0.935307,9.768767,-7.776908,3.013768,-12.93842,0
9.87269,10.548189,-2.459512,2.078461,11.344933,1.108513,9.474318,-6.010216,3.793191,-13.28483,0
9.422356,11.275651,-3.152332,3.464102,10.963882,1.108513,9.21451,-7.15337,3.39482,-11.570099,0
6.47787,8.590972,-0.969948,1.662769,13.475355,0.796743,6.027537,-2.182384,2.528794,-10.392305,0
9.838049,10.253741,-1.628128,2.494153,10.011254,0.952628,9.578241,-6.547152,2.753961,-14.32406,0
8.071357,9.335754,-1.385641,0.969948,11.448856,0.640859,7.898152,-3.360179,2.650038,-12.436125,0
10.496228,10.998523,-1.766692,1.524205,8.937382,0.917987,10.149818,-6.14878,2.165064,-15.276688,0
6.13146,14.497265,-3.74123,2.771281,13.475355,0.814064,5.854332,-3.135012,2.580756,-11.171728,1
6.547152,9.959292,-1.351,1.662769,13.509996,0.866025,6.166101,-2.320948,2.771281,-11.379574,0
6.425908,9.664844,-1.108513,1.939897,11.847228,0.640859,6.200742,-2.632717,1.299038,-12.124356,1
8.452408,9.630202,-1.662769,3.671948,13.059663,1.125833,7.967434,-6.114139,3.966396,-11.91651,0
5.681127,9.474318,-0.866025,2.078461,11.58742,0.779423,5.78505,-2.355589,0.952628,-11.119766,0
6.80696,9.041305,-0.554256,1.454923,11.448856,0.6755,6.599114,-2.563435,1.36832,-11.518138,1
10.340343,9.21451,-0.727461,1.524205,8.002075,0.6755,10.478907,-6.46055,1.991858,-15.934867,0
7.621024,11.691343,-2.251666,0.969948,13.527317,0.917987,7.118729,-2.580756,3.619986,-12.037753,0
6.14878,8.85078,-1.385641,2.078461,11.466176,0.744782,6.13146,-2.73664,1.160474,-9.768767,1
6.270024,9.751446,-2.598076,0.069282,12.401484,0.6755,6.235383,-0.814064,2.130422,-7.101408,1
7.759588,12.055074,-2.667358,3.74123,12.522727,0.917987,7.447818,-5.681127,3.135012,-12.176317,0
8.452408,11.275651,-1.489564,3.117691,11.708663,1.160474,7.690306,-5.282755,2.06114,-14.029612,0
8.383126,8.712216,-1.212436,1.870615,10.080536,0.588897,8.365805,-4.728499,1.905256,-12.522727,0
6.858921,10.530869,-1.801333,3.186973,12.540048,1.143154,6.391267,-4.070319,1.939897,-11.085125,0
8.556331,9.630202,-1.905256,2.355589,10.929241,0.848705,7.950113,-4.797781,1.749371,-12.921099,0
11.639381,9.231831,-1.524205,1.801333,8.556331,1.662769,10.634792,-6.893562,1.558846,-14.722432,0
6.581793,9.716805,-1.212436,2.217025,14.393342,1.056551,5.819691,-2.528794,2.927166,-10.825318,0
7.950113,9.820728,-1.247077,2.979127,11.795266,0.883346,7.690306,-5.144191,2.650038,-13.28483,0
7.101408,10.548189,-1.939897,2.286307,11.985792,0.935307,6.858921,-3.637307,2.078461,-11.777945,0
7.274613,10.461587,-1.801333,2.078461,10.340343,0.779423,7.534421,-4.10496,1.610807,-12.418804,0
7.326575,8.660254,-1.489564,2.771281,11.466176,0.744782,7.413177,-4.676537,2.442192,-10.426946,1
8.019395,10.877279,-2.875204,3.39482,13.250189,0.969948,7.672985,-5.559883,4.052999,-10.686753,0
6.47787,10.738715,-2.459512,1.801333,13.406073,1.143154,5.958255,-2.251666,2.320948,-9.820728,0
7.447818,10.253741,-2.459512,4.641896,11.58742,0.727461,7.776908,-6.893562,3.117691,-10.444266,0
7.447818,9.699485,-1.524205,0.831384,13.700522,1.195115,6.80696,-2.130422,3.342858,-9.474318,0
8.123318,9.959292,-1.905256,2.632717,11.292971,1.02191,7.898152,-5.022947,2.442192,-11.968471,0
5.958255,9.127908,-1.351,2.355589,12.747894,0.796743,5.837011,-2.684679,1.939897,-10.478907,0
6.096819,8.833459,-1.281718,2.494153,11.829907,0.571577,6.235383,-3.221615,1.680089,-10.91192,0
7.776908,9.19719,-1.247077,2.909845,12.107035,1.143154,7.274613,-4.676537,2.355589,-11.500817,0
7.326575,9.699485,-1.939897,2.563435,11.864548,0.606218,7.205331,-4.278165,2.476833,-10.652112,1
6.13146,9.751446,-1.524205,2.078461,12.28024,0.6755,6.287344,-2.857884,2.199705,-11.223689,0
8.123318,8.608293,-1.385641,1.524205,10.132497,0.796743,8.140639,-4.156922,1.766692,-11.60474,0
7.794229,11.327612,-2.875204,2.909845,13.28483,0.883346,7.482459,-4.884383,3.931755,-11.050484,0
8.694895,11.310292,-2.528794,2.840563,10.686753,0.952628,8.504369,-5.837011,2.476833,-12.384163,0
8.972023,10.721394,-2.944486,2.217025,11.812587,1.073872,8.17528,-4.884383,2.667358,-12.072394,0
5.646486,11.171728,-1.351,2.840563,12.903779,0.519615,5.958255,-3.308217,2.701999,-12.713253,1
7.49978,11.119766,-1.905256,1.662769,14.30674,1.056551,6.772319,-2.927166,3.827832,-12.366843,0
9.093267,9.422356,-1.351,2.979127,11.310292,1.056551,8.331164,-5.78505,2.303628,-12.765214,0
8.729536,10.461587,-2.73664,2.009179,10.859959,0.917987,8.383126,-4.884383,2.37291,-11.91651,0
6.772319,9.491638,-1.489564,2.424871,12.505407,0.640859,6.789639,-3.706589,2.788602,-10.981202,1
7.17069,9.595561,-0.866025,2.286307,11.275651,0.6755,6.789639,-3.568025,1.160474,-12.470766,1
6.044857,10.461587,-1.974538,2.217025,13.509996,0.519615,5.940934,-2.667358,2.875204,-10.756036,1
6.010216,9.87269,-1.420282,1.939897,12.62665,0.796743,5.837011,-2.268987,1.766692,-10.859959,0
6.46055,9.716805,-2.113102,3.39482,12.332202,0.727461,6.547152,-4.451371,2.494153,-9.734126,1
6.062178,9.993933,-0.381051,1.801333,12.903779,0.779423,6.096819,-2.39023,2.511474,-13.458035,0
6.651075,11.119766,-1.801333,2.424871,13.717842,1.02191,5.819691,-2.753961,2.234346,-11.58742,1
6.235383,9.89001,-1.524205,5.12687,13.665881,0.658179,5.992896,-5.629165,2.944486,-10.756036,1
6.13146,10.704074,-2.805922,1.03923,14.150855,1.056551,5.837011,-1.36832,3.169653,-8.279203,0
9.993933,10.513548,-2.39023,2.147743,11.691343,1.160474,8.954703,-5.577204,3.031089,-13.180907,0
7.655665,11.015843,-2.182384,2.217025,12.384163,0.952628,7.257293,-3.966396,2.71932,-11.864548,0
8.036716,10.600151,-2.320948,2.632717,12.314881,0.883346,7.811549,-4.936345,3.377499,-11.777945,0
7.49978,10.132497,-2.078461,1.939897,12.332202,0.6755,7.257293,-3.689268,2.823243,-10.756036,1
6.010216,9.734126,-1.628128,2.840563,13.406073,0.952628,5.819691,-3.152332,2.511474,-10.253741,0
6.235383,9.075946,-1.073872,2.771281,12.193638,0.935307,5.871652,-3.135012,1.177795,-11.119766,0
5.975575,8.694895,-0.866025,2.701999,13.232868,0.987269,5.888973,-3.08305,2.511474,-10.842638,0
5.750409,8.972023,-0.588897,2.494153,13.215548,0.640859,5.888973,-2.875204,2.71932,-11.015843,0
7.465139,10.738715,-1.628128,2.009179,11.119766,0.502295,7.621024,-4.122281,2.37291,-12.678612,1
6.720357,10.548189,-2.320948,2.840563,13.752483,0.866025,6.062178,-3.39482,2.632717,-10.201779,0
6.651075,9.786087,-0.866025,1.939897,10.877279,0.640859,6.703037,-3.152332,1.160474,-10.513548,1
9.041305,10.842638,-2.875204,3.533384,10.929241,0.866025,8.798818,-6.80696,2.909845,-11.223689,0
6.789639,8.140639,-0.415692,3.048409,10.305702,0.467654,7.274613,-4.815101,1.541525,-11.795266,1
8.296523,9.353074,-1.351,1.939897,10.184459,0.779423,8.227241,-4.659217,1.818653,-13.163586,0
5.992896,9.907331,-0.588897,1.870615,10.773356,0.640859,6.373947,-2.753961,1.056551,-12.089715,1
6.858921,10.530869,-1.801333,3.186973,12.540048,1.143154,6.391267,-4.070319,1.939897,-11.085125,0
7.309254,9.491638,-0.935307,2.217025,11.518138,0.814064,7.118729,-3.827832,1.922576,-12.903779,0
7.101408,8.53901,-1.420282,2.009179,11.033164,0.398372,7.395857,-3.897114,2.199705,-11.015843,0
6.270024,8.52169,-0.519615,2.840563,13.094304,0.866025,5.871652,-3.204294,2.04382,-11.327612,0
10.253741,9.976613,-1.905256,1.385641,8.642934,0.866025,9.959292,-5.819691,1.732051,-14.341381,0
7.257293,10.704074,-1.420282,1.801333,12.314881,0.796743,6.945524,-3.238935,2.424871,-13.267509,0
10.704074,9.699485,-1.558846,3.533384,8.469728,0.883346,10.426946,-8.417767,1.991858,-15.242047,0
8.52169,9.508959,-1.004589,2.217025,10.600151,0.796743,8.088677,-4.797781,1.732051,-14.012291,0
6.47787,11.743304,-2.459512,2.009179,14.358701,0.883346,5.958255,-2.459512,3.273576,-10.807997,0
6.772319,8.833459,-1.212436,0.69282,11.725984,0.831384,6.287344,-1.472243,1.004589,-9.058626,0
6.096819,8.313844,-0.69282,3.39482,11.691343,1.125833,5.750409,-3.637307,0.571577,-10.617471,0
6.321985,9.5436,-1.281718,2.217025,12.349522,0.848705,5.871652,-2.598076,1.299038,-10.617471,1
7.482459,9.474318,-1.247077,1.870615,12.574689,1.143154,6.893562,-3.256256,2.355589,-11.656702,1
7.222652,9.335754,-1.835974,3.256256,13.64856,1.818653,5.958255,-3.706589,1.818653,-10.340343,0
7.274613,9.803408,-1.905256,2.009179,12.834496,0.710141,6.858921,-3.360179,2.753961,-10.790677,1
7.465139,9.578241,-1.073872,1.870615,11.570099,0.710141,7.118729,-3.481422,1.818653,-12.470766,0
6.200742,9.249151,-0.796743,1.662769,13.804445,0.814064,5.888973,-2.04382,2.857884,-11.829907,0
6.252703,10.080536,-1.524205,2.147743,12.557368,0.935307,5.871652,-2.511474,1.524205,-11.015843,0
6.945524,9.699485,-0.415692,2.494153,12.505407,0.917987,5.837011,-2.823243,0.710141,-13.891047,0
7.672985,11.362253,-3.08305,2.078461,12.643971,0.744782,7.672985,-4.243524,3.793191,-10.738715,0
8.383126,9.941972,-1.662769,2.563435,11.344933,1.056551,7.967434,-5.022947,2.37291,-11.725984,0
8.417767,9.041305,-1.420282,1.939897,9.058626,0.640859,8.625613,-5.057588,1.36832,-11.58742,1
10.011254,12.401484,-3.08305,1.801333,10.773356,0.969948,9.87269,-6.13146,3.879794,-13.440714,0
6.304665,9.318433,-0.381051,2.078461,14.67047,0.744782,6.13146,-2.701999,4.10496,-12.453445,0
6.096819,10.461587,-2.459512,1.939897,13.561958,0.814064,5.975575,-2.407551,2.892525,-9.820728,0
6.616434,8.504369,-0.554256,2.286307,13.198227,0.969948,5.837011,-2.615397,1.732051,-10.600151,1
8.365805,9.838049,-1.489564,1.801333,12.384163,1.056551,7.82887,-4.10496,3.100371,-12.401484,0
5.975575,8.261882,-0.554256,1.03923,12.176317,0.571577,5.80237,-1.351,1.333679,-10.946561,1
9.751446,9.058626,-1.143154,1.870615,8.816139,0.987269,9.820728,-6.166101,2.130422,-14.65315,0
9.162549,10.790677,-2.217025,2.286307,9.959292,1.125833,8.798818,-5.559883,1.818653,-12.95574,0
6.391267,9.976613,-1.558846,1.108513,12.60933,0.710141,6.218062,-1.853294,2.234346,-9.595561,1
5.733088,11.206369,-2.182384,2.701999,13.232868,0.606218,5.854332,-3.08305,2.788602,-10.409625,1
5.888973,10.600151,-2.04382,2.009179,13.30215,0.69282,5.819691,-2.320948,2.528794,-11.119766,0
6.062178,9.56092,-1.628128,1.732051,12.62665,0.588897,5.871652,-2.113102,1.835974,-10.392305,0
7.569062,8.85078,-1.073872,1.801333,10.253741,0.536936,7.950113,-4.243524,2.06114,-12.522727,1
8.972023,10.981202,-2.73664,1.177795,10.998523,0.658179,9.093267,-4.745819,3.637307,-11.60474,0
7.465139,9.335754,-1.108513,2.563435,11.25833,0.536936,7.222652,-4.278165,1.71473,-12.93842,1
8.279203,10.011254,-1.558846,3.74123,12.973061,3.100371,5.888973,-4.122281,-0.051962,-9.907331,0
10.409625,11.500817,-2.875204,2.217025,11.431535,1.073872,9.855369,-6.547152,4.156922,-13.250189,0
6.547152,9.647523,-1.143154,2.701999,13.423394,0.952628,6.166101,-3.360179,2.684679,-11.015843,0
10.478907,9.786087,-1.69741,1.593487,8.227241,0.935307,10.340343,-6.391267,1.801333,-14.722432,0
6.096819,9.87269,-1.212436,1.939897,12.695932,0.6755,5.888973,-2.320948,1.853294,-11.033164,0
7.222652,8.348485,-1.073872,1.524205,12.176317,0.727461,6.928203,-2.944486,2.286307,-11.25833,0
5.767729,8.140639,-0.242487,3.602666,11.189048,0.571577,5.975575,-4.070319,0.848705,-11.137087,0
5.490601,9.439677,-0.935307,2.217025,13.717842,0.467654,5.837011,-2.546115,3.377499,-10.877279,0
6.373947,9.751446,-0.969948,1.454923,12.678612,0.866025,5.923614,-1.870615,1.628128,-11.93383,0
8.1926,8.712216,-1.212436,1.524205,8.816139,0.831384,8.469728,-4.486012,1.03923,-12.314881,0
7.049447,9.162549,-1.905256,1.939897,11.171728,0.363731,7.188011,-3.637307,2.026499,-10.201779,1
7.655665,9.820728,-2.04382,2.494153,10.634792,0.554256,7.776908,-4.76314,2.009179,-11.899189,1
8.764177,9.682164,-1.558846,2.355589,11.067805,0.588897,8.885421,-5.715768,3.498743,-13.128945,0
6.218062,9.491638,-1.212436,3.533384,13.059663,0.883346,6.235383,-4.260845,2.788602,-10.963882,0
5.906293,8.556331,-0.727461,2.286307,12.176317,0.658179,5.923614,-2.701999,1.593487,-11.466176,0
6.010216,8.261882,-0.658179,2.701999,11.93383,0.640859,5.767729,-2.979127,0.987269,-11.25833,1
8.52169,11.379574,-2.909845,2.217025,12.089715,0.848705,8.400446,-5.092229,3.793191,-12.020433,0
5.559883,8.989344,-1.385641,2.632717,12.401484,0.450333,5.80237,-2.944486,1.974538,-10.271061,1
6.339306,9.006664,-1.108513,2.078461,12.003112,0.779423,6.373947,-2.944486,1.887935,-10.790677,0
7.724947,11.067805,-3.290897,1.247077,13.423394,0.814064,7.586383,-3.325538,4.347448,-9.630202,0
9.301113,10.253741,-2.355589,1.524205,10.392305,0.779423,9.058626,-5.074909,2.684679,-12.505407,0
6.47787,10.669433,-2.39023,1.870615,14.376022,1.004589,6.010216,-2.37291,3.39482,-10.028574,0
7.984754,7.898152,-0.450333,1.939897,9.803408,0.710141,8.054036,-4.486012,1.402961,-12.107035,1
9.87269,10.288382,-1.939897,4.018358,8.885421,0.866025,9.682164,-8.17528,1.801333,-13.423394,0
6.010216,9.19719,-0.935307,2.286307,12.903779,0.814064,5.733088,-2.528794,1.887935,-10.91192,1
9.439677,10.496228,-2.251666,2.078461,12.107035,1.056551,9.075946,-5.629165,4.243524,-13.319471,0
5.80237,10.080536,-2.04382,3.39482,12.28024,0.606218,5.958255,-3.862473,1.922576,-9.422356,1
8.313844,9.803408,-2.251666,3.879794,12.26292,3.08305,5.975575,-4.347448,-0.623538,-8.972023,0
8.002075,9.855369,-2.182384,2.078461,10.929241,0.710141,7.915472,-4.486012,2.234346,-11.622061,0
7.032126,9.075946,-1.351,5.12687,12.488086,0.987269,6.512511,-6.13146,1.957217,-11.483497,1
9.474318,9.838049,-2.320948,1.801333,10.58283,0.952628,8.954703,-5.230793,2.442192,-12.661291,0
6.82428,11.067805,-1.905256,1.732051,13.025022,1.004589,5.888973,-2.113102,1.454923,-12.020433,0
10.011254,10.807997,-3.325538,2.494153,10.946561,1.108513,9.179869,-6.13146,2.667358,-12.055074,0
6.096819,8.556331,-1.281718,3.39482,11.310292,0.536936,6.391267,-4.278165,1.472243,-10.115177,1
5.698447,8.52169,-0.796743,3.39482,12.574689,0.606218,5.923614,-3.810512,2.199705,-11.189048,0
6.062178,11.951151,-4.122281,1.454923,14.064253,0.658179,5.767729,-1.71473,3.013768,-8.054036,0
5.888973,10.600151,-2.04382,2.009179,13.30215,0.69282,5.819691,-2.320948,2.528794,-11.119766,0
8.313844,10.271061,-2.771281,1.870615,11.760625,1.125833,7.82887,-4.191563,2.580756,-9.474318,1
6.82428,9.699485,-1.69741,3.186973,14.012291,1.264397,5.888973,-3.568025,2.442192,-10.859959,0
7.690306,9.491638,-2.04382,1.524205,12.436125,1.108513,7.274613,-3.290897,2.771281,-10.323023,0
5.681127,7.672985,-0.173205,0.831384,10.548189,0.259808,5.819691,-1.143154,-0.017321,-9.145228,1
10.478907,9.786087,-1.69741,1.593487,8.227241,0.935307,10.340343,-6.391267,1.801333,-14.722432,0
8.85078,11.344933,-3.048409,4.295486,11.466176,0.935307,8.573651,-7.343895,3.186973,-10.998523,0
7.759588,10.738715,-0.554256,2.771281,9.924651,0.969948,7.603703,-4.849742,0.796743,-15.138124,0
7.239972,10.634792,-0.796743,3.186973,10.478907,0.710141,7.274613,-4.953665,1.264397,-14.289419,1
5.78505,10.201779,-0.554256,2.701999,11.639381,0.398372,5.871652,-3.08305,1.125833,-13.042343,1
7.413177,9.751446,-1.420282,2.078461,11.570099,0.727461,7.205331,-3.775871,2.04382,-12.488086,0
6.252703,8.902741,-0.519615,0.900666,11.691343,0.796743,5.888973,-1.281718,0.69282,-11.015843,0
12.886458,10.305702,-1.939897,3.39482,11.58742,4.728499,9.145228,-6.997485,0.363731,-11.985792,0
6.82428,9.179869,-1.69741,1.108513,11.743304,0.571577,6.651075,-2.268987,1.749371,-10.374984,1
5.888973,10.600151,-2.04382,2.009179,13.30215,0.69282,5.819691,-2.320948,2.528794,-11.119766,0
8.556331,10.357664,-2.73664,1.732051,10.807997,0.969948,8.227241,-4.451371,2.182384,-11.58742,0
6.218062,9.630202,-1.351,2.009179,12.886458,0.6755,5.958255,-2.459512,2.06114,-11.310292,0
8.590972,8.348485,-0.831384,2.217025,10.097856,0.69282,8.989344,-5.681127,2.909845,-13.700522,0
