Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,Source_30,Source_31,Source_32,Source_33,Source_34,Source_35,Source_36,Source_37,Source_38,Source_39,Source_40,yes
0.011917,0.0086,-0.022009,-0.011285,-0.039595,-0.033367,-0.048661,0.056237,-0.023133,0.016545,-0.035055,0.063619,-0.042853,-0.032926,-0.018355,-0.056666,-0.024237,-0.022497,0.100395,0.054293,0.075397,0.015175,-0.101831,0.057203,0.033341,-0.02543,0.031351,-0.088912,-0.063542,0.103028,0.089109,0.034991,0.047859,0.002947,-0.055629,0.005772,-0.054935,-0.038258,-0.015951,0.01595,0.072183,1
0.061897,-0.022954,0.005271,-0.042629,-0.005022,0.031662,-0.080328,0.020332,0.068792,0.046102,0.062305,0.048134,0.005843,-0.038553,0.055574,0.081407,-0.106837,-0.031747,0.026179,-0.019366,-0.106166,0.012634,-0.066886,0.010684,-0.03138,-0.025468,0.047243,0.004097,0.0395,-0.082722,-0.07389,-0.027307,0.000952,0.048465,-0.047096,0.040274,-0.015873,-0.040583,-0.002376,-0.0123,-0.003537,1
-0.007661,0.03563,0.025751,-0.01018,0.026903,0.011164,0.016732,-0.070872,-0.037376,-0.018931,-0.026303,0.007497,0.061577,0.04269,-0.112281,0.040669,0.001279,-0.000476,0.02555,0.016789,-0.016928,-0.010749,0.089401,-0.026672,0.005975,0.008784,0.00313,0.075278,-0.084954,0.054213,-0.091666,0.014694,0.060703,0.059983,-0.05293,-0.069475,0.018709,0.046394,0.022885,-0.025652,0.009171,1
-0.034853,0.043511,0.043011,0.004715,-0.031903,0.015394,0.014129,0.032911,0.016148,0.026741,-0.021245,0.080937,-0.029908,-0.023137,0.032145,-0.022743,-0.081895,-0.009721,0.01888,0.009436,-0.013119,0.037044,-0.0372,-0.016354,-0.00943,0.011449,0.003256,0.054077,-0.031394,-0.015802,0.030224,0.011291,0.073794,-0.011698,0.007485,-0.007715,-0.006678,0.044775,0.04262,0.052748,0.050497,1
-0.132294,0.024484,-0.04671,0.115029,0.066445,-0.091529,0.078055,0.051101,-0.013,-0.024565,0.032028,0.020711,0.018915,0.03926,0.024585,-0.020267,0.010309,0.009534,-0.040655,0.060751,-0.047499,0.098802,-0.092003,0.014976,-0.020422,-0.03342,0.113883,0.05361,0.01149,-0.086052,0.036223,-0.0169,-0.041856,0.112208,0.007344,0.002959,0.034284,-0.046084,0.017357,0.019991,0.023989,1
-0.098255,-0.042614,0.039573,0.031388,0.084443,0.015652,0.010926,-0.081362,-0.011069,-0.040521,0.047776,0.017,-0.073618,-0.053307,-0.035286,-0.008763,-0.039561,-0.033093,-0.027816,0.039657,0.0044,-0.018083,0.027879,0.068234,0.00016,-0.084928,-0.010632,-0.05008,-0.064551,-0.027368,-0.011124,0.046758,0.023228,0.005284,-0.020226,-0.02434,-0.014872,0.052007,0.026427,-0.020443,-0.018835,1
0.024207,-0.075714,-0.024699,-0.02334,-0.031664,0.005278,-0.037075,0.030605,0.031293,0.005964,-0.02758,-0.032884,-0.032161,0.008284,0.002062,0.028229,0.027769,-0.016692,0.054083,0.039032,-0.016439,-0.059399,-0.030637,0.02294,0.045573,0.024079,0.022964,-0.008069,0.007674,0.019367,-0.024083,0.043067,-0.029546,0.022899,-0.024806,-0.090149,0.026439,0.034016,0.035397,0.0112,0.009906,1
0.015109,-0.063695,-0.011883,-0.020051,-0.026163,-0.005814,-0.076516,-0.044333,0.036898,-0.012638,0.001184,-0.03157,-0.116076,-0.002831,-0.023593,0.079394,-0.036123,-0.013567,0.028927,-0.04869,-0.115106,0.031671,-0.003499,0.003241,0.012655,-0.033943,-0.013258,0.022711,0.004072,-0.021383,0.053739,-0.07064,0.014627,-0.011562,0.043996,0.048702,-0.036553,-0.030339,0.068887,0.012456,-0.009328,0
0.040462,0.050681,0.038907,-0.023987,-0.002456,-0.002586,-0.056089,0.001789,0.026109,0.004329,0.060975,-0.039868,0.064309,0.089531,0.034664,-0.045005,-0.0226,0.029388,-0.036488,-0.003536,-0.039257,-0.072396,0.019204,-0.057136,0.053382,-0.01335,-0.112507,-0.028648,0.03876,0.011499,0.069271,0.066495,0.090664,0.052837,-0.004101,-0.063884,0.018261,0.040614,0.059144,-0.026809,0.0167,1
0.00926,-0.001194,-0.001862,-0.14135,0.083154,0.019528,0.050215,-0.072835,0.00533,0.010135,-0.0397,-0.009818,0.04142,-0.031819,-0.028048,0.000805,-0.011106,-0.011962,0.024081,-0.007454,0.031987,-0.016424,0.102443,0.040694,-0.050522,0.02422,-0.025998,0.077307,-0.079439,0.016259,-0.093819,-0.057566,0.003189,0.098681,-0.089077,-0.019116,-0.030871,0.015034,-0.047407,0.019791,-0.023923,1
-0.065776,0.006774,-0.062196,0.011178,-0.036081,0.051485,0.030441,0.023562,-0.001268,-0.016765,-0.012188,0.06331,-0.106511,-0.033726,0.039574,-0.008129,-0.069498,0.029653,0.035629,0.034066,-0.002577,0.002281,-0.107622,-0.028549,0.028939,-0.02278,-0.022249,-0.012523,-0.03067,-0.061165,0.018204,0.006772,0.025871,0.044917,0.010409,0.014926,-0.054771,0.030907,-0.058084,0.088479,0.020748,1
-0.044189,0.134122,0.098837,-0.017408,0.053431,-0.069905,0.043596,-0.04006,-0.000568,-0.030099,-0.040507,0.008107,0.008071,0.024791,-0.057489,-0.009853,-0.037121,0.025605,0.090605,0.032804,-0.02819,-0.007392,-0.074639,0.007508,-0.012101,-0.104203,0.021972,-0.023247,-0.022563,0.121304,-0.026008,-0.043636,0.037946,0.003966,-0.121092,0.079705,-0.089173,0.052755,0.024355,-0.023514,-0.009873,1
0.0032,0.014813,-0.035208,0.025221,-0.0055,0.008222,-0.001389,-0.001928,0.00939,0.018118,0.040389,0.014519,-0.024897,0.040662,-0.010851,-0.015371,-0.021307,0.100899,0.070953,-0.038142,0.060714,0.075044,0.02163,-0.100276,-0.01829,-0.016975,-0.012564,-0.011458,-0.048189,-0.023299,-0.021879,0.012748,0.092323,0.059546,0.050272,0.003205,0.004704,0.004406,-0.016859,0.120364,-0.029296,1
-0.019144,-0.002251,-0.028313,0.016244,-0.080037,0.041754,-0.100062,-0.009046,0.049834,-0.009807,0.021014,-0.068981,0.000114,0.056506,-0.050009,-0.023488,-0.050044,-0.002014,-0.003468,0.000429,-0.007873,0.055506,0.027951,-0.006697,0.016634,-0.078807,0.036321,0.044308,0.004906,-0.013018,-0.028666,-0.006148,0.011384,0.035786,0.048528,0.022827,-0.001331,-0.059503,0.034353,-0.027835,-0.001371,1
0.046998,0.032721,0.073833,0.028639,-0.002078,-0.154093,-0.027392,0.075893,-0.058381,0.013501,0.046997,0.016748,-0.047844,0.018805,0.003281,0.047655,0.027179,0.024334,0.075774,0.087651,0.025426,-0.079308,0.055531,-0.000625,0.011108,0.000075,0.029257,-0.035161,-0.055745,0.111365,0.037962,0.006608,-0.03999,-0.054883,-0.063196,0.075939,-0.017017,-0.099987,0.04172,0.049081,0.042803,1
0.012518,-0.01617,-0.021047,-0.063849,0.000455,0.048908,-0.024173,-0.054987,-0.025422,0.050594,-0.010747,-0.078394,0.025639,-0.033982,0.100695,-0.06484,0.117369,0.025837,0.002176,0.038819,-0.050386,-0.030417,-0.005788,-0.035627,-0.040094,0.073238,-0.007623,-0.129776,-0.052403,0.031942,0.022702,0.001705,-0.004121,0.0357,-0.091297,-0.061396,0.028408,0.041092,0.075456,0.010821,0.054626,1
-0.041884,0.041916,0.004951,0.046459,-0.009649,0.019411,-0.018941,-0.052714,0.028558,-0.000317,-0.043393,-0.037463,0.014947,0.002609,0.023867,-0.055381,-0.060634,0.030684,-0.025922,0.025894,-0.020831,-0.005132,0.007506,0.044655,-0.040352,0.051621,0.045067,0.014407,-0.058183,0.065273,-0.009366,-0.01717,-0.041656,0.044242,0.015278,-0.018324,-0.026554,-0.035077,0.050665,0.011859,0.032151,1
-0.060638,-0.013729,0.09609,-0.017859,0.044455,0.023829,0.033354,0.015428,0.000974,-0.049372,-0.140835,0.006759,-0.024781,0.045201,-0.056665,-0.088365,0.003703,0.018845,-0.018731,0.049982,-0.053759,0.041036,-0.020827,0.013551,-0.017483,-0.008928,-0.068199,-0.030404,-0.041876,0.049793,-0.113295,0.016412,-0.0279,-0.009741,-0.064243,-0.141998,-0.028563,0.038935,-0.077333,-0.004175,-0.007113,1
-0.035286,0.001351,0.065945,-0.064055,0.025668,-0.021285,-0.026662,0.004006,-0.008514,-0.077046,0.095424,-0.05042,-0.043275,-0.059144,-0.043435,0.06591,0.046309,0.059784,-0.083125,0.009654,-0.007819,-0.028813,0.016687,0.015671,-0.006233,-0.002992,0.040898,0.098516,0.006352,0.014989,0.03312,-0.005484,-0.04748,0.078756,0.062841,0.064468,0.048387,-0.034618,0.039415,0.054839,0.020999,1
-0.044315,0.094038,-0.089122,-0.032374,0.007839,-0.006648,0.044607,0.015263,0.099496,-0.039603,0.031027,0.010847,0.009555,-0.086285,0.016907,-0.091307,0.005566,-0.041587,0.058947,0.02906,-0.005992,-0.049823,0.06692,-0.008325,-0.070909,0.019949,-0.007566,0.031082,0.112841,-0.08976,-0.00495,0.062628,0.0342,-0.069994,0.003143,-0.034776,-0.040433,-0.156897,0.016133,-0.055105,0.019668,1
-0.140095,0.047828,-0.043633,-0.05827,0.043569,0.082462,0.097517,-0.06698,-0.020444,-0.018102,0.07168,-0.033019,-0.036184,0.007399,0.040495,0.024197,0.016667,0.04314,0.049466,0.038613,-0.044621,-0.005635,0.035916,0.002933,0.036924,-0.06585,0.02169,0.049689,-0.048344,0.027129,-0.013722,-0.052063,0.04278,-0.086289,-0.069929,-0.110637,-0.0136,-0.008627,0.065062,-0.017825,0.035542,1
0.013429,0.000587,-0.050232,0.029919,-0.019637,0.046347,-0.087413,0.001038,-0.009092,-0.058495,0.018483,-0.108627,-0.05965,0.04076,-0.012029,0.072886,-0.04349,0.043839,0.056093,0.014665,-0.085466,-0.015975,-0.049619,0.007244,0.008255,-0.000237,0.057938,0.016949,0.003547,0.027029,0.009335,0.025983,0.000779,0.031333,-0.004472,-0.066276,0.009947,0.046764,0.021143,0.050625,0.015866,1
-0.016803,0.04581,-0.033655,0.144995,-0.068131,-0.064978,0.021228,-0.010864,-0.066493,-0.005655,-0.002356,0.035231,-0.002663,0.002078,0.068812,0.032693,0.024735,-0.01771,-0.031804,0.018165,-0.032456,0.004618,0.019196,-0.009686,-0.119259,-0.091846,0.009606,0.024251,0.039548,0.048827,-0.037765,0.067692,0.130651,0.004967,0.045669,-0.021346,-0.034783,0.011315,-0.056963,0.123735,0.027807,1
-0.007827,-0.001957,-0.008245,-0.046108,-0.074509,-0.043693,0.072004,-0.060533,-0.039333,-0.005037,0.050359,-0.022802,-0.023237,-0.042092,0.037458,-0.013221,-0.066905,-0.038545,0.026893,0.009404,0.026564,0.025332,0.01809,-0.101571,0.116752,-0.015028,0.00763,0.073636,0.007155,0.021911,-0.007406,-0.07951,-0.028308,0.029453,-0.034929,-0.04183,0.002965,0.021537,-0.013794,0.051513,-0.0251,1
-0.03138,0.061484,-0.035983,0.033212,0.022636,0.026133,0.00662,-0.075763,-0.0026,0.018411,-0.008262,-0.038696,0.0435,-0.069292,0.03021,-0.053603,-0.011667,0.026547,-0.010485,0.003072,-0.021245,0.027248,-0.004235,0.000328,-0.006755,-0.043966,0.015544,0.032645,-0.003715,0.085253,0.031533,-0.047953,-0.062988,-0.01657,0.035012,-0.008779,-0.028715,0.070553,0.090405,0.022339,0.017953,1
0.049977,0.009981,0.110745,0.016175,0.033788,0.034109,0.021401,-0.101054,0.009444,-0.040514,-0.055217,-0.045176,0.001456,0.06241,-0.013701,0.054284,-0.003715,-0.04912,0.037561,-0.052916,-0.042236,0.047999,-0.051697,-0.063019,0.022195,-0.041847,0.135356,-0.10872,-0.01516,-0.047826,0.034015,0.03197,0.014744,0.064587,0.00255,0.053821,-0.075893,-0.027793,0.031884,0.064533,-0.025444,0
-0.042117,-0.009144,-0.058524,-0.02851,-0.019067,-0.030958,-0.012388,-0.014639,0.045562,0.007858,0.091069,-0.011924,-0.007704,-0.022862,-0.048441,0.017136,-0.033599,0.043671,-0.050201,0.046356,0.022645,0.039897,-0.018125,-0.095259,-0.052666,-0.040898,0.074255,0.045287,0.011494,0.011584,0.026497,0.056811,0.031531,0.025134,0.039688,-0.06627,-0.042486,0.054888,-0.007019,0.028516,0.042546,1
-0.064765,0.019146,-0.087403,0.001126,-0.027612,-0.121838,-0.059285,0.018604,-0.055551,-0.135674,-0.038886,-0.075164,0.087782,0.028543,0.043799,-0.012085,0.107478,-0.024225,0.094888,-0.023666,-0.076044,0.012027,-0.006238,0.00201,-0.057075,-0.025568,0.046836,0.031251,0.024624,-0.083655,0.018394,0.037222,-0.078627,0.002305,0.073781,0.004756,0.028664,0.024577,-0.021295,-0.031304,0.004804,1
0.059199,0.024983,0.048043,0.044565,0.00681,-0.173581,-0.036636,0.078302,-0.048681,0.003038,0.047817,0.012306,-0.043707,0.016283,-0.00667,0.03639,0.031469,0.047299,0.082987,0.060324,0.02288,-0.057763,0.051629,0.008989,0.005079,-0.006836,0.006827,-0.031012,-0.044352,0.126659,0.01216,0.007589,-0.03762,-0.053243,-0.061724,0.061233,-0.031341,-0.062541,0.061091,0.06099,0.034562,1
0.067806,-0.000807,-0.039579,0.079605,-0.017401,-0.019008,0.037114,-0.052593,-0.029101,-0.017817,-0.061195,0.033794,-0.044454,-0.016901,-0.072751,0.054835,-0.027859,0.08131,-0.015043,-0.040298,-0.023661,-0.071363,-0.02115,0.01115,-0.022552,-0.038321,-0.090877,-0.013325,-0.08076,0.013527,-0.016759,0.065032,-0.106105,0.014732,0.031995,0.016572,0.004835,-0.076346,0.041965,0.041105,0.069984,0
0.01613,-0.027985,-0.037249,-0.071593,-0.017352,-0.061704,-0.013746,-0.106657,-0.034353,0.03894,0.032113,-0.063811,-0.053276,-0.072161,0.090626,-0.034757,0.010689,-0.064447,-0.044393,-0.010305,0.013968,0.053683,0.010478,-0.121496,-0.018229,-0.019037,0.033934,-0.035623,0.035182,-0.033731,0.000704,0.000766,0.00918,0.034619,-0.036434,-0.002775,0.035229,0.001548,0.053091,-0.07521,-0.006951,1
-0.041083,0.059426,-0.093721,0.049861,-0.050192,0.035111,0.097783,0.051327,-0.075883,0.039781,0.051863,0.018406,-0.066695,-0.081151,-0.067411,-0.091657,-0.029243,0.049659,-0.085385,-0.006018,0.00502,0.100438,0.038421,0.022769,-0.046241,-0.05339,0.124234,0.046516,0.005545,-0.03369,0.016107,0.008917,0.080831,0.096402,-0.079245,-0.019609,-0.02955,-0.038876,0.060558,0.032291,-0.004653,1
0.042201,0.032647,0.011898,0.075735,-0.006594,-0.028169,-0.056717,0.005507,0.005353,-0.084373,0.060688,0.013149,0.105459,-0.027737,-0.030867,-0.038972,-0.031745,0.003571,0.069482,-0.007141,-0.057815,-0.063282,0.015975,-0.019058,-0.037238,0.056723,0.025578,0.067091,0.02042,-0.010696,-0.046578,0.079274,-0.03644,0.03728,-0.040125,-0.021623,-0.011355,0.010984,0.005486,0.004139,-0.088715,1
0.026303,0.052346,0.017256,0.055552,0.037396,0.012359,0.005488,-0.004196,0.029727,-0.066807,0.010062,0.15501,-0.03014,0.001752,0.004376,0.07013,-0.021009,0.041211,-0.090183,0.026328,-0.065331,-0.067731,-0.057589,-0.088098,0.072707,-0.005084,-0.00216,0.022097,-0.075611,0.014755,0.075424,-0.055159,0.008515,0.017528,-0.074399,-0.025967,0.050637,-0.010101,-0.023598,0.053436,-0.01592,1
0.022187,-0.068584,0.075259,0.063271,-0.044977,-0.011614,-0.057607,-0.052847,-0.023968,0.043391,0.000702,-0.013544,0.007182,-0.012595,-0.001572,0.090802,0.070412,-0.047899,-0.025414,-0.078959,-0.024209,0.016719,0.066335,-0.082396,-0.03641,0.033983,-0.10209,0.068422,0.05787,0.045314,-0.04542,-0.042831,0.104128,0.022234,-0.037698,0.029078,-0.118704,-0.081645,-0.04837,0.009428,-0.011449,1
0.015653,-0.002268,0.028434,-0.014746,-0.019759,-0.096495,0.048906,-0.018929,-0.021039,-0.050794,-0.014052,0.020386,0.003164,-0.023198,-0.032588,0.056851,0.021073,0.06673,-0.007774,-0.098593,-0.046104,0.068144,0.084193,0.013066,0.059315,0.074412,-0.007381,0.073727,0.020109,0.093467,-0.037562,-0.014227,0.000125,0.077693,0.091296,0.029401,0.038567,-0.064668,0.06922,-0.004692,0.053428,1
-0.084846,-0.081922,0.018445,-0.006569,-0.003988,-0.046157,-0.082705,0.00712,0.003002,-0.05199,0.013534,-0.034216,0.04831,0.022375,-0.047969,-0.061149,0.132091,-0.018425,-0.066679,-0.03692,0.063528,0.054722,-0.000927,0.001691,-0.007868,-0.008168,0.084689,-0.065744,-0.041643,0.003375,0.012695,-0.010966,-0.01272,0.082388,0.032394,-0.105312,0.029593,0.033172,0.030423,-0.055449,0.061945,1
-0.113749,-0.052758,-0.037485,-0.053269,0.023008,0.011246,-0.00817,0.004542,-0.034576,-0.01548,0.037114,-0.022255,-0.072583,0.06894,-0.016506,0.074094,-0.053421,0.015048,0.052558,0.080295,-0.054593,-0.02017,-0.043636,-0.023696,0.000828,0.002081,-0.063364,0.06753,-0.011426,0.010191,-0.084461,0.028987,-0.026354,-0.016445,0.012911,-0.091762,-0.01276,0.036052,-0.094607,-0.027154,-0.052011,1
-0.04749,0.051845,-0.03244,0.01969,0.025438,0.043356,-0.007566,0.023922,0.043883,0.019651,0.008633,0.026931,0.001708,-0.053364,-0.000467,-0.049338,-0.053519,0.044263,-0.032136,0.015547,-0.008453,0.046594,-0.022827,0.035545,-0.089913,0.038298,0.005464,0.012262,-0.006979,0.038611,-0.035896,0.072872,-0.003539,0.005504,0.044471,-0.006891,-0.07732,-0.002265,0.031081,0.063549,0.061843,0
0.094669,-0.054932,0.106852,-0.072756,-0.023766,0.000905,0.046959,-0.01426,-0.019426,-0.083445,0.030446,0.042972,0.054403,-0.076439,-0.010572,-0.056012,0.082909,0.027862,0.000258,-0.046073,-0.104239,-0.021591,-0.014406,-0.079577,0.033267,-0.053913,0.020021,0.025909,0.042751,-0.013697,0.060227,0.076041,-0.048466,-0.007089,-0.069834,0.020365,-0.078649,-0.00125,0.025201,0.003268,-0.113158,1
0.000234,-0.017836,0.048006,0.039418,-0.032853,0.024421,-0.080152,0.020042,0.067949,0.021187,-0.002966,-0.033389,0.010156,-0.029398,-0.010871,0.057544,-0.008029,0.010277,0.026221,0.032003,-0.021354,0.065414,0.047372,-0.031682,0.016857,0.028688,0.034032,-0.035817,-0.011054,-0.016474,-0.016053,-0.040365,0.035207,-0.063056,-0.077645,-0.039622,0.067791,0.023685,0.03626,-0.021113,0.063906,1
-0.091054,-0.008054,0.094928,-0.065635,0.009949,0.001421,0.061184,-0.077783,0.054494,0.030396,-0.040879,-0.01366,0.016822,-0.015473,-0.051925,-0.001887,-0.028943,0.043835,0.005899,-0.040505,-0.064243,0.089938,0.059599,-0.008424,-0.000412,-0.063134,0.021258,-0.01406,-0.004978,0.046406,-0.080554,0.076054,-0.028181,0.012795,-0.072978,0.020621,-0.031697,0.062571,-0.018674,0.010901,0.004118,1
-0.048835,0.106093,0.147434,-0.059592,0.092896,-0.056122,-0.025182,0.052948,-0.037536,-0.079046,0.029373,0.003823,0.084981,0.022091,-0.08074,-0.033569,-0.008148,0.060997,0.041491,-0.0508,0.024843,0.121329,-0.067921,0.012579,0.021887,-0.14419,-0.055657,-0.033654,0.033062,0.051698,-0.057491,-0.039776,0.066389,0.033209,-0.080433,0.049861,-0.112251,-0.011983,-0.063302,-0.087636,0.056183,0
0.020805,-0.02652,0.004931,0.03474,0.022607,0.018825,-0.027887,0.013797,0.035886,-0.026391,-0.024364,0.043325,-0.049188,-0.004758,-0.057328,-0.007012,0.089731,0.010668,0.012005,-0.009224,-0.068837,-0.022085,0.103908,0.033772,0.029124,0.045244,-0.012375,-0.016105,0.007345,0.068848,0.059307,-0.016001,-0.024451,-0.004094,-0.075178,-0.061526,0.012671,0.036165,0.06239,0.080226,0.077263,1
-0.067498,0.014301,0.135677,-0.009561,-0.05756,-0.029787,0.079412,-0.046766,0.050948,-0.045104,-0.051122,0.012439,-0.002897,-0.061973,-0.059153,-0.014458,-0.003327,0.022663,-0.010779,-0.010719,0.054719,0.066874,-0.033474,0.04253,0.135951,-0.016272,-0.008945,-0.034564,0.122376,-0.058338,-0.081907,-0.041534,-0.042402,0.028475,-0.009096,-0.036506,-0.064001,-0.077584,0.008282,-0.003087,0.078153,1
0.012405,0.010073,0.145151,-0.054114,0.02207,-0.076227,0.085948,-0.028315,0.017115,0.010342,-0.09591,0.061704,0.044366,-0.021665,0.031626,-0.006559,-0.019662,0.003356,0.000652,0.009433,-0.018193,0.046072,-0.053733,0.008451,0.033116,-0.028333,0.012527,-0.019897,0.133328,-0.014026,-0.005296,-0.033939,-0.066123,0.063951,0.103933,-0.009855,0.018175,-0.044557,-0.054808,-0.035195,0.028707,1
0.016222,-0.035898,0.000361,0.015957,0.009091,-0.029911,-0.008553,0.014697,0.012391,-0.0488,-0.016163,0.001219,0.041624,-0.044795,-0.003787,0.064353,0.025449,0.04604,0.054365,0.025232,-0.049906,-0.021122,-0.106797,0.051407,0.095189,-0.019794,0.004034,-0.022085,0.001559,0.00307,-0.03582,0.009404,-0.025535,0.064996,0.055113,-0.100028,0.060635,-0.000728,0.026647,0.017531,0.082729,1
0.004951,0.070019,-0.07732,-0.040243,-0.050918,-0.076308,-0.09611,0.040835,-0.021577,-0.000754,0.03703,-0.029343,-0.066978,-0.003735,-0.0548,-0.050779,-0.051425,-0.039479,0.089631,0.054556,-0.006917,-0.010381,-0.104231,0.020886,-0.066894,-0.004412,0.027254,-0.0595,0.00009,0.120299,0.016903,0.017375,0.028685,0.055815,-0.013343,0.033628,-0.058738,-0.035391,-0.022431,0.053583,0.033263,0
-0.024851,-0.031568,0.019512,0.043125,-0.045435,-0.006818,-0.024342,-0.074033,0.024682,-0.001601,0.012103,-0.026163,0.022995,-0.01344,0.018486,0.057869,0.07607,-0.043804,-0.112244,-0.002213,-0.039801,-0.029121,0.021342,-0.077738,-0.08873,-0.035572,0.037145,0.126058,-0.026366,0.087412,-0.009766,-0.050728,0.049941,0.061712,-0.025821,0.042866,-0.07495,-0.114904,-0.047934,0.037739,-0.013347,1
